('15:47:54.676519', b'D2-15:47:54.639431************\r\n', '')
('15:47:54.681399', b'>\r\n', 'sent:1-15:47:54.676519*')
('15:47:54.795909', b'>\r\n', 'sent:1-15:47:54.681399*')
('15:47:54.927672', b'D2-15:47:54.800818************\r\n', '')
('15:47:55.037970', b'>\r\n', 'sent:1-15:47:54.927672*')
('15:47:55.061392', b'>\r\n', 'sent:1-15:47:55.037970*')
('15:47:55.208504', b'D2-15:47:55.168475************\r\n', '')
('15:47:55.212396', b'>\r\n', 'sent:1-15:47:55.208504*')
('15:47:55.236795', b'>\r\n', 'sent:1-15:47:55.212396*')
('15:47:55.261195', b'>\r\n', 'sent:1-15:47:55.236795*')
('15:47:55.285595', b'>\r\n', 'sent:1-15:47:55.261195*')
('15:47:55.310004', b'>\r\n', 'sent:1-15:47:55.285595*')
('15:47:55.394909', b'D2-15:47:55.318781************\r\n', '')
('15:47:55.401741', b'D2-15:47:55.341228************\r\n', '')
('15:47:56.435808', b'....................................................................................................0.0.0.0\r\n', '')
('15:47:56.444592', b'No Wi-Fi connection\r\n', '')
('15:47:56.450448', b'>\r\n', 'sent:1-15:47:56.444592*')
('15:47:56.474848', b'>\r\n', 'sent:1-15:47:56.450448*')
('15:47:56.609537', b'>\r\n', 'sent:1-15:47:56.474848*')
('15:47:56.755257', b'>\r\n', 'sent:1-15:47:56.609537*')
('15:47:56.903611', b'D2-15:47:56.859691************\r\n', '')
('15:47:56.907516', b'D2-15:47:56.863596************\r\n', '')
('15:47:56.911418', b'>\r\n', 'sent:1-15:47:56.907516*')
('15:47:57.017804', b'>\r\n', 'sent:1-15:47:56.911418*')
('15:47:57.041227', b'>\r\n', 'sent:1-15:47:57.017804*')
('15:47:57.145692', b'>\r\n', 'sent:1-15:47:57.041227*')
('15:47:57.170092', b'>\r\n', 'sent:1-15:47:57.145692*')
('15:47:57.192541', b'>\r\n', 'sent:1-15:47:57.170092*')
('15:47:57.215964', b'>\r\n', 'sent:1-15:47:57.192541*')
('15:47:57.668098', b'>\r\n', 'sent:1-15:47:57.215964*')
('15:47:57.691522', b'>\r\n', 'sent:1-15:47:57.668098*')
('15:47:57.717876', b'>\r\n', 'sent:1-15:47:57.691522*')
('15:47:57.741298', b'>\r\n', 'sent:1-15:47:57.717876*')
('15:47:57.844754', b'>\r\n', 'sent:1-15:47:57.741298*')
('15:47:57.869155', b'>\r\n', 'sent:1-15:47:57.844754*')
('15:47:57.894532', b'>\r\n', 'sent:1-15:47:57.869155*')
('15:47:57.918931', b'>\r\n', 'sent:1-15:47:57.894532*')
('15:47:57.943332', b'>\r\n', 'sent:1-15:47:57.918931*')
('15:47:57.968708', b'>\r\n', 'sent:1-15:47:57.943332*')
('15:47:58.077048', b'>\r\n', 'sent:1-15:47:57.968708*')
('15:47:58.102420', b'>\r\n', 'sent:1-15:47:58.077048*')
('15:47:58.247643', b'>\r\n', 'sent:1-15:47:58.102420*')
('15:47:58.271066', b'>\r\n', 'sent:1-15:47:58.247643*')
('15:47:58.295468', b'>\r\n', 'sent:1-15:47:58.271066*')
('15:47:58.318892', b'>\r\n', 'sent:1-15:47:58.295468*')
('15:47:59.424210', b'....................................................................................................0.0.0.0\r\n', '')
('15:47:59.428130', b'No Wi-Fi connection\r\n', '')
('15:47:59.440803', b'>\r\n', 'sent:1-15:47:59.428130*')
('15:47:59.586324', b'>\r\n', 'sent:1-15:47:59.440803*')
('15:47:59.610702', b'>\r\n', 'sent:1-15:47:59.586324*')
('15:47:59.634126', b'>\r\n', 'sent:1-15:47:59.610702*')
('15:47:59.737610', b'>\r\n', 'sent:1-15:47:59.634126*')
('15:47:59.884092', b'>\r\n', 'sent:1-15:47:59.737610*')
('15:47:59.908493', b'>\r\n', 'sent:1-15:47:59.884092*')
('15:47:59.934845', b'>\r\n', 'sent:1-15:47:59.908493*')
('15:48:00.039277', b'>\r\n', 'sent:1-15:47:59.934845*')
('15:48:00.059774', b'>\r\n', 'sent:1-15:48:00.039277*')
('15:48:00.085149', b'>\r\n', 'sent:1-15:48:00.059774*')
('15:48:00.108572', b'>\r\n', 'sent:1-15:48:00.085149*')
('15:48:00.194463', b'D2-15:48:00.161305************\r\n', '')
('15:48:00.300845', b'>\r\n', 'sent:1-15:48:00.194463*')
('15:48:00.405279', b'>\r\n', 'sent:1-15:48:00.300845*')
('15:48:00.613198', b'>\r\n', 'sent:1-15:48:00.405279*')
('15:48:00.637571', b'>\r\n', 'sent:1-15:48:00.613198*')
('15:48:00.661004', b'>\r\n', 'sent:1-15:48:00.637571*')
('15:48:00.684438', b'>\r\n', 'sent:1-15:48:00.661004*')
('15:48:00.707862', b'>\r\n', 'sent:1-15:48:00.684438*')
('15:48:00.812274', b'>\r\n', 'sent:1-15:48:00.707862*')
('15:48:00.836672', b'>\r\n', 'sent:1-15:48:00.812274*')
('15:48:00.862068', b'>\r\n', 'sent:1-15:48:00.836672*')
('15:48:00.966483', b'>\r\n', 'sent:1-15:48:00.862068*')
('15:48:01.111748', b'>\r\n', 'sent:1-15:48:00.966483*')
('15:48:01.135172', b'>\r\n', 'sent:1-15:48:01.111748*')
('15:48:01.158623', b'>\r\n', 'sent:1-15:48:01.135172*')
('15:48:02.271183', b'....................................................................................................0.0.0.0\r\n', '')
('15:48:02.275081', b'No Wi-Fi connection\r\n', '')
('15:48:02.287769', b'>\r\n', 'sent:1-15:48:02.275081*')
('15:48:02.311192', b'>\r\n', 'sent:1-15:48:02.287769*')
('15:48:02.417578', b'>\r\n', 'sent:1-15:48:02.311192*')
('15:48:02.625467', b'>\r\n', 'sent:1-15:48:02.417578*')
('15:48:02.728950', b'>\r\n', 'sent:1-15:48:02.625467*')
('15:48:02.833355', b'>\r\n', 'sent:1-15:48:02.728950*')
('15:48:02.856780', b'>\r\n', 'sent:1-15:48:02.833355*')
