('15:48:11.029437', b'>\r\n', 'sent:2-15:48:11.005993*')
('15:48:11.052841', b'>\r\n', 'sent:2-15:48:11.029437*')
('15:48:11.156298', b'>\r\n', 'sent:2-15:48:11.052841*')
('15:48:11.182650', b'>\r\n', 'sent:2-15:48:11.156298*')
('15:48:11.292938', b'>\r\n', 'sent:2-15:48:11.182650*')
('15:48:11.316362', b'>\r\n', 'sent:2-15:48:11.292938*')
('15:48:11.339787', b'>\r\n', 'sent:2-15:48:11.316362*')
('15:48:11.362235', b'>\r\n', 'sent:2-15:48:11.339787*')
('15:48:11.479356', b'>\r\n', 'sent:2-15:48:11.362235*')
('15:48:11.592601', b'>\r\n', 'sent:2-15:48:11.480337*')
('15:48:11.615996', b'>\r\n', 'sent:2-15:48:11.592601*')
('15:48:11.635517', b'>\r\n', 'sent:2-15:48:11.615996*')
('15:48:11.660920', b'>\r\n', 'sent:2-15:48:11.635517*')
('15:48:11.748756', b'D1-15:48:11.700933************\r\n', '')
('15:48:11.752637', b'>\r\n', 'sent:2-15:48:11.748756*')
('15:48:11.899063', b'D1-15:48:11.856094************\r\n', '')
('15:48:11.902942', b'>\r\n', 'sent:2-15:48:11.899063*')
('15:48:11.988830', b'D1-15:48:11.907822************\r\n', '')
('15:48:11.992734', b'D1-15:48:11.933197************\r\n', '')
('15:48:11.999567', b'>\r\n', 'sent:2-15:48:11.992734*')
('15:48:12.132303', b'D1-15:48:12.005424************\r\n', '')
('15:48:13.111674', b'....................................................................................................0.0.0.0\r\n', '')
('15:48:13.117528', b'No Wi-Fi connection\r\n', '')
('15:48:13.130218', b'>\r\n', 'sent:2-15:48:13.117528*')
('15:48:13.153672', b'>\r\n', 'sent:2-15:48:13.130218*')
('15:48:13.298044', b'>\r\n', 'sent:2-15:48:13.153672*')
('15:48:13.319509', b'>\r\n', 'sent:2-15:48:13.298044*')
('15:48:13.343890', b'>\r\n', 'sent:2-15:48:13.319509*')
('15:48:13.450275', b'>\r\n', 'sent:2-15:48:13.343890*')
('15:48:13.553730', b'>\r\n', 'sent:2-15:48:13.450275*')
('15:48:13.577154', b'>\r\n', 'sent:2-15:48:13.553730*')
('15:48:13.600582', b'>\r\n', 'sent:2-15:48:13.577154*')
('15:48:13.624003', b'>\r\n', 'sent:2-15:48:13.600582*')
('15:48:13.647426', b'>\r\n', 'sent:2-15:48:13.624003*')
('15:48:13.671828', b'>\r\n', 'sent:2-15:48:13.647426*')
('15:50:21.905614', b'\x00\x18\x86f~\xf8\x9e\x00\x00\x18\x00\x18x\x00\x98\xe0\x18Connecting to WiFi..\r\n', '')
('15:50:22.768403', b'...........................................................................................192.168.4.8\r\n', '')
('15:50:22.773283', b'>\r\n', 'sent:2-15:50:22.768403*')
('15:50:22.793779', b'>\r\n', 'sent:2-15:50:22.773283*')
('15:50:22.877714', b'D1-15:50:22.801586************\r\n', '')
('15:50:22.886499', b'D1-15:50:22.841603************\r\n', '')
('15:50:22.890402', b'D1-15:50:22.821106************\r\n', '')
('15:50:22.897235', b'>\r\n', 'sent:2-15:50:22.891378*')
('15:50:22.916755', b'>\r\n', 'sent:2-15:50:22.897235*')
('15:50:23.027043', b'>\r\n', 'sent:2-15:50:22.916755*')
('15:50:23.170519', b'D1-15:50:23.030947************\r\n', '')
('15:50:23.180276', b'D1-15:50:23.133428************\r\n', '')
('15:50:23.184180', b'>\r\n', 'sent:2-15:50:23.180276*')
('15:50:23.203700', b'>\r\n', 'sent:2-15:50:23.184180*')
('15:50:23.224196', b'>\r\n', 'sent:2-15:50:23.203700*')
('15:50:23.244692', b'>\r\n', 'sent:2-15:50:23.224196*')
('15:50:23.327653', b'D1-15:50:23.285685************\r\n', '')
('15:50:23.388165', b'D1-15:50:23.290565************\r\n', '')
('15:50:23.397926', b'>\r\n', 'sent:2-15:50:23.388165*')
('15:50:23.518950', b'D1-15:50:23.395014************\r\n', '')
('15:50:23.531638', b'>\r\n', 'sent:2-15:50:23.518950*')
('15:50:23.551158', b'>\r\n', 'sent:2-15:50:23.531638*')
('15:50:23.570679', b'>\r\n', 'sent:2-15:50:23.551158*')
('15:50:23.582390', b'E (1970) wifi: out of memory!\r\n', '')
