('13:34:19.393849', b'>\r\n', 'sent:2-13:34:19.393849*')
('13:34:19.471894', b'D1-13:34:19.456349************\trssi:-43\r\n', '')
('13:34:19.471894', b'>\r\n', 'sent:2-13:34:19.471894*')
('13:34:19.565687', b'D1-13:34:19.550077************\trssi:-44\r\n', '')
('13:34:19.565687', b'>\r\n', 'sent:2-13:34:19.565687*')
('13:34:19.643801', b'D1-13:34:19.628196************\trssi:-43\r\n', '')
('13:34:19.643801', b'>\r\n', 'sent:2-13:34:19.643801*')
('13:34:19.721717', b'D1-13:34:19.706292************\trssi:-42\r\n', '')
('13:34:19.721717', b'>\r\n', 'sent:2-13:34:19.721717*')
('13:34:19.815652', b'D1-13:34:19.800015************\trssi:-42\r\n', '')
('13:34:19.815652', b'>\r\n', 'sent:2-13:34:19.815652*')
('13:34:19.893746', b'D1-13:34:19.878126************\trssi:-43\r\n', '')
('13:34:19.893746', b'>\r\n', 'sent:2-13:34:19.893746*')
('13:34:19.987195', b'D1-13:34:19.971802************\trssi:-42\r\n', '')
('13:34:19.987195', b'>\r\n', 'sent:2-13:34:19.987195*')
('13:34:20.065598', b'>\r\n', 'sent:2-13:34:19.987195*')
('13:34:20.143693', b'D1-13:34:20.049962************\trssi:-43\r\n', '')
('13:34:20.143693', b'>\r\n', 'sent:2-13:34:20.143693*')
('13:34:20.237138', b'D1-13:34:20.221516************\trssi:-43\r\n', '')
('13:34:20.237138', b'>\r\n', 'sent:2-13:34:20.237138*')
('13:34:20.315522', b'D1-13:34:20.299901************\trssi:-42\r\n', '')
('13:34:20.315522', b'>\r\n', 'sent:2-13:34:20.315522*')
('13:34:20.393608', b'D1-13:34:20.378008************\trssi:-43\r\n', '')
('13:34:20.393608', b'>\r\n', 'sent:2-13:34:20.393608*')
('13:34:20.487081', b'D1-13:34:20.471693************\trssi:-42\r\n', '')
('13:34:20.487081', b'>\r\n', 'sent:2-13:34:20.487081*')
('13:34:20.565480', b'D1-13:34:20.549844************\trssi:-43\r\n', '')
('13:34:20.565480', b'>\r\n', 'sent:2-13:34:20.565480*')
('13:34:20.658942', b'D1-13:34:20.627954************\trssi:-42\r\n', '')
('13:34:20.658942', b'>\r\n', 'sent:2-13:34:20.658942*')
('13:34:20.737070', b'D1-13:34:20.721642************\trssi:-42\r\n', '')
('13:34:20.737070', b'>\r\n', 'sent:2-13:34:20.737070*')
('13:34:20.815425', b'D1-13:34:20.799776************\trssi:-41\r\n', '')
('13:34:20.815425', b'>\r\n', 'sent:2-13:34:20.815425*')
('13:34:20.909142', b'D1-13:34:20.893427************\trssi:-43\r\n', '')
('13:34:20.909142', b'>\r\n', 'sent:2-13:34:20.909142*')
('13:34:20.986996', b'D1-13:34:20.971566************\trssi:-43\r\n', '')
('13:34:20.986996', b'>\r\n', 'sent:2-13:34:20.986996*')
('13:34:21.080761', b'D1-13:34:21.049731************\trssi:-43\r\n', '')
('13:34:21.080761', b'>\r\n', 'sent:2-13:34:21.080761*')
('13:34:21.159080', b'D1-13:34:21.143473************\trssi:-43\r\n', '')
('13:34:21.159080', b'>\r\n', 'sent:2-13:34:21.159080*')
('13:34:21.236943', b'D1-13:34:21.143473************\trssi:-43\r\n', '')
('13:34:21.236943', b'>\r\n', 'sent:2-13:34:21.236943*')
('13:34:21.330887', b'D1-13:34:21.221524************\trssi:-42\r\n', '')
('13:34:21.330887', b'>\r\n', 'sent:2-13:34:21.330887*')
('13:34:21.409026', b'D1-13:34:21.377785************\trssi:-42\r\n', '')
('13:34:21.409026', b'>\r\n', 'sent:2-13:34:21.409026*')
('13:34:21.486851', b'>\r\n', 'sent:2-13:34:21.409026*')
('13:34:21.580833', b'D1-13:34:21.549636************\trssi:-42\r\n', '')
('13:34:21.580833', b'>\r\n', 'sent:2-13:34:21.580833*')
('13:34:21.658967', b'D1-13:34:21.549636************\trssi:-42\r\n', '')
('13:34:21.658967', b'>\r\n', 'sent:2-13:34:21.658967*')
('13:34:21.736826', b'D1-13:34:21.721412************\trssi:-43\r\n', '')
('13:34:21.736826', b'>\r\n', 'sent:2-13:34:21.736826*')
('13:34:21.830762', b'D1-13:34:21.799575************\trssi:-42\r\n', '')
('13:34:21.830762', b'>\r\n', 'sent:2-13:34:21.830762*')
('13:34:21.908912', b'D1-13:34:21.877668************\trssi:-44\r\n', '')
('13:34:21.908912', b'>\r\n', 'sent:2-13:34:21.908912*')
('13:34:21.986770', b'D1-13:34:21.971333************\trssi:-44\r\n', '')
('13:34:22.002382', b'>\r\n', 'sent:2-13:34:21.986770*')
('13:34:22.080747', b'>\r\n', 'sent:2-13:34:22.002382*')
('13:34:22.158852', b'D1-13:34:22.143215************\trssi:-44\r\n', '')
('13:34:22.158852', b'>\r\n', 'sent:2-13:34:22.158852*')
('13:34:22.252324', b'D1-13:34:22.221295************\trssi:-44\r\n', '')
('13:34:22.252324', b'>\r\n', 'sent:2-13:34:22.252324*')
('13:34:22.330701', b'D1-13:34:22.221295************\trssi:-43\r\n', '')
('13:34:22.330701', b'>\r\n', 'sent:2-13:34:22.330701*')
('13:34:22.408706', b'>\r\n', 'sent:2-13:34:22.330701*')
('13:34:22.486623', b'>\r\n', 'sent:2-13:34:22.408706*')
('13:34:22.580632', b'D1-13:34:22.471230************\trssi:-44\r\n', '')
('13:34:22.580632', b'>\r\n', 'sent:2-13:34:22.580632*')
