('16:03:30.007328', b'D2-16:03:29.944852************\r\n', '')
('16:03:30.022693', b'>\r\n', 'sent:1-16:03:30.007328*')
('16:03:30.038565', b'>\r\n', 'sent:1-16:03:30.022693*')
('16:03:30.069548', b'>\r\n', 'sent:1-16:03:30.038565*')
('16:03:30.085442', b'>\r\n', 'sent:1-16:03:30.069548*')
('16:03:30.178902', b'D2-16:03:30.116391************\r\n', '')
('16:03:30.178902', b'>\r\n', 'sent:1-16:03:30.178902*')
('16:03:30.210146', b'>\r\n', 'sent:1-16:03:30.178902*')
('16:03:30.226022', b'>\r\n', 'sent:1-16:03:30.210146*')
('16:03:30.241384', b'>\r\n', 'sent:1-16:03:30.226022*')
('16:03:30.335368', b'D2-16:03:30.241384************\r\n', '')
('16:03:30.335368', b'D2-16:03:30.257107************\r\n', '')
('16:03:30.460343', b'D2-16:03:30.288522************\r\n', '')
('16:03:30.522581', b'D2-16:03:30.335368************\r\n', '')
('16:03:30.522581', b'D2-16:03:30.460343************\r\n', '')
('16:03:30.522581', b'>\r\n', 'sent:1-16:03:30.522581*')
('16:03:30.554061', b'>\r\n', 'sent:1-16:03:30.522581*')
('16:03:30.585063', b'>\r\n', 'sent:1-16:03:30.554061*')
('16:03:30.600880', b'>\r\n', 'sent:1-16:03:30.585063*')
('16:03:30.725902', b'>\r\n', 'sent:1-16:03:30.600880*')
('16:03:30.741267', b'>\r\n', 'sent:1-16:03:30.725902*')
('16:03:30.772780', b'>\r\n', 'sent:1-16:03:30.741267*')
('16:03:30.803752', b'>\r\n', 'sent:1-16:03:30.772780*')
('16:03:30.819648', b'>\r\n', 'sent:1-16:03:30.803752*')
('16:03:30.850617', b'>\r\n', 'sent:1-16:03:30.819648*')
