('11:15:21.469114', b'D1-255************************\trssi:-37\r\n', '')
('11:15:21.469114', b's-dur: 63386\r\n', '')
('11:15:21.484733', b'S\r\n', '')
('11:15:21.547219', b'D1-258************************\trssi:-35\r\n', '')
('11:15:21.547219', b'D1-259************************\trssi:-35\r\n', '')
('11:15:21.547219', b'D1-260************************\trssi:-35\r\n', '')
('11:15:21.547219', b's-dur: 61477\r\n', '')
('11:15:21.719088', b'S\r\n', '')
('11:15:21.781572', b'D1-270************************\trssi:-35\r\n', '')
('11:15:21.797190', b'D1-271************************\trssi:-37\r\n', '')
('11:15:21.797190', b'D1-272************************\trssi:-37\r\n', '')
('11:15:21.797190', b's-dur: 61570\r\n', '')
('11:15:21.797190', b'S\r\n', '')
('11:15:21.844059', b'D1-273************************\trssi:-36\r\n', '')
('11:15:21.859679', b'D1-275************************\trssi:-36\r\n', '')
('11:15:21.859679', b'D1-274************************\trssi:-37\r\n', '')
('11:15:21.859679', b's-dur: 61671\r\n', '')
('11:15:21.859679', b'S\r\n', '')
('11:15:21.906511', b'D1-276************************\trssi:-37\r\n', '')
('11:15:21.922135', b'D1-277************************\trssi:-37\r\n', '')
('11:15:21.922135', b'D1-278************************\trssi:-38\r\n', '')
('11:15:21.922135', b's-dur: 61653\r\n', '')
('11:15:21.922135', b'S\r\n', '')
('11:15:21.969030', b'D1-280************************\trssi:-36\r\n', '')
('11:15:21.984651', b'D1-281************************\trssi:-37\r\n', '')
('11:15:21.984651', b'D1-282************************\trssi:-38\r\n', '')
('11:15:21.984651', b's-dur: 61661\r\n', '')
('11:15:21.984651', b'S\r\n', '')
('11:15:22.031515', b'D1-285************************\trssi:-36\r\n', '')
('11:15:22.047132', b'D1-283************************\trssi:-37\r\n', '')
('11:15:22.047132', b'D1-284************************\trssi:-38\r\n', '')
('11:15:22.047132', b's-dur: 61681\r\n', '')
('11:15:22.047132', b'S\r\n', '')
('11:15:22.094001', b'D1-287************************\trssi:-36\r\n', '')
('11:15:22.109624', b'D1-286************************\trssi:-37\r\n', '')
('11:15:22.109624', b'D1-288************************\trssi:-38\r\n', '')
('11:15:22.109624', b's-dur: 61667\r\n', '')
('11:15:22.156486', b'S\r\n', '')
('11:15:22.218975', b'D1-293************************\trssi:-36\r\n', '')
('11:15:22.218975', b'D1-294************************\trssi:-36\r\n', '')
('11:15:22.234596', b'D1-292************************\trssi:-37\r\n', '')
('11:15:22.234596', b's-dur: 61541\r\n', '')
('11:15:22.312669', b'S\r\n', '')
