('14:17:10.137458', b'>\r\n', 'sent:100-35*')
('14:17:10.168700', b'b-dur: 30960\r\n', '')
('14:17:10.168700', b'S\r\n', '')
('14:17:10.231186', b'D3-228************************\trssi:-52\r\n', '')
('14:17:10.231186', b'D3-229************************\trssi:-52\r\n', '')
('14:17:10.246807', b'D3-230************************\trssi:-52\r\n', '')
('14:17:10.246807', b'D3-231************************\trssi:-52\r\n', '')
('14:17:10.246807', b'D3-232************************\trssi:-52\r\n', '')
('14:17:10.246807', b'D3-233************************\trssi:-53\r\n', '')
('14:17:10.246807', b's-dur: 71281\r\n', '')
('14:17:10.246807', b'S\r\n', '')
('14:17:10.309315', b'D3-235************************\trssi:-52\r\n', '')
('14:17:10.309315', b'D3-236************************\trssi:-53\r\n', '')
('14:17:10.309315', b'D3-237************************\trssi:-53\r\n', '')
('14:17:10.309315', b'D3-238************************\trssi:-53\r\n', '')
('14:17:10.324936', b'D3-239************************\trssi:-53\r\n', '')
('14:17:10.324936', b'D3-240************************\trssi:-53\r\n', '')
('14:17:10.324936', b's-dur: 71563\r\n', '')
('14:17:10.324936', b'S\r\n', '')
('14:17:10.371779', b'D3-246************************\trssi:-52\r\n', '')
('14:17:10.387418', b'D3-247************************\trssi:-52\r\n', '')
('14:17:10.387418', b'D3-244************************\trssi:-53\r\n', '')
('14:17:10.387418', b'D3-245************************\trssi:-53\r\n', '')
('14:17:10.387418', b'D3-243************************\trssi:-54\r\n', '')
('14:17:10.387418', b's-dur: 68260\r\n', '')
('14:17:10.387418', b'>\r\n', 'sent:100-36*')
('14:17:10.418675', b'b-dur: 39235\r\n', '')
('14:17:10.418675', b'>\r\n', 'sent:100-37*')
('14:17:10.449915', b'b-dur: 28948\r\n', '')
('14:17:10.449915', b'S\r\n', '')
('14:17:10.512371', b'D3-256************************\trssi:-50\r\n', '')
('14:17:10.512371', b'D3-261************************\trssi:-50\r\n', '')
('14:17:10.528014', b'D3-257************************\trssi:-51\r\n', '')
('14:17:10.528014', b'D3-258************************\trssi:-51\r\n', '')
('14:17:10.528014', b'D3-259************************\trssi:-51\r\n', '')
('14:17:10.528014', b'D3-260************************\trssi:-51\r\n', '')
('14:17:10.528014', b's-dur: 71282\r\n', '')
('14:17:10.528014', b'S\r\n', '')
('14:17:10.590499', b'D3-267************************\trssi:-48\r\n', '')
('14:17:10.590499', b'D3-268************************\trssi:-48\r\n', '')
('14:17:10.590499', b'D3-266************************\trssi:-49\r\n', '')
('14:17:10.606123', b'D3-264************************\trssi:-50\r\n', '')
('14:17:10.606123', b'D3-265************************\trssi:-50\r\n', '')
('14:17:10.606123', b's-dur: 68004\r\n', '')
('14:17:10.606123', b'>\r\n', 'sent:100-38*')
('14:17:10.637363', b'b-dur: 39258\r\n', '')
('14:17:10.637363', b'>\r\n', 'sent:100-39*')
('14:17:10.668585', b'b-dur: 28960\r\n', '')
('14:17:10.668585', b'>\r\n', 'sent:100-40*')
('14:17:10.684206', b'b-dur: 29964\r\n', '')
('14:17:10.684206', b'>\r\n', 'sent:100-41*')
('14:17:10.715449', b'b-dur: 27964\r\n', '')
('14:17:10.715449', b'S\r\n', '')
('14:17:10.777967', b'D3-283************************\trssi:-49\r\n', '')
('14:17:10.793590', b'D3-284************************\trssi:-50\r\n', '')
('14:17:10.793590', b'D3-285************************\trssi:-51\r\n', '')
('14:17:10.793590', b'D3-286************************\trssi:-51\r\n', '')
('14:17:10.793590', b'D3-287************************\trssi:-53\r\n', '')
('14:17:10.793590', b'D3-288************************\trssi:-53\r\n', '')
('14:17:10.809177', b's-dur: 71245\r\n', '')
('14:17:10.809177', b'>\r\n', 'sent:100-42*')
('14:17:10.824820', b'b-dur: 40510\r\n', '')
('14:17:10.824820', b'S\r\n', '')
('14:17:10.902940', b'D3-294************************\trssi:-53\r\n', '')
('14:17:10.902940', b'D3-295************************\trssi:-53\r\n', '')
('14:17:10.902940', b'D3-296************************\trssi:-53\r\n', '')
('14:17:10.902940', b'D3-297************************\trssi:-53\r\n', '')
('14:17:10.902940', b'D3-298************************\trssi:-53\r\n', '')
('14:17:10.918549', b'D3-299************************\trssi:-53\r\n', '')
('14:17:10.918549', b's-dur: 71243\r\n', '')
('14:17:10.918549', b'>\r\n', 'sent:100-43*')
('14:17:10.949770', b'b-dur: 39508\r\n', '')
('14:17:10.949770', b'>\r\n', 'sent:100-44*')
('14:17:10.981024', b'b-dur: 28960\r\n', '')
('14:17:10.981024', b'S\r\n', '')
('14:17:11.043519', b'D3-309************************\trssi:-53\r\n', '')
('14:17:11.043519', b'D3-310************************\trssi:-54\r\n', '')
('14:17:11.043519', b'D3-311************************\trssi:-54\r\n', '')
('14:17:11.043519', b'D3-313************************\trssi:-54\r\n', '')
('14:17:11.059147', b'D3-308************************\trssi:-55\r\n', '')
('14:17:11.059147', b'D3-312************************\trssi:-55\r\n', '')
('14:17:11.059147', b's-dur: 71293\r\n', '')
('14:17:11.059147', b'>\r\n', 'sent:100-45*')
('14:17:11.090383', b'b-dur: 40462\r\n', '')
('14:17:11.090383', b'S\r\n', '')
('14:17:11.152869', b'D3-320************************\trssi:-55\r\n', '')
('14:17:11.152869', b'D3-321************************\trssi:-55\r\n', '')
('14:17:11.152869', b'D3-324************************\trssi:-55\r\n', '')
('14:17:11.152869', b'D3-325************************\trssi:-55\r\n', '')
('14:17:11.168490', b'D3-322************************\trssi:-56\r\n', '')
('14:17:11.168490', b'D3-323************************\trssi:-56\r\n', '')
('14:17:11.168490', b's-dur: 71255\r\n', '')
('14:17:11.168490', b'S\r\n', '')
('14:17:11.215355', b'D3-329************************\trssi:-54\r\n', '')
('14:17:11.230977', b'D3-327************************\trssi:-55\r\n', '')
('14:17:11.230977', b'D3-328************************\trssi:-55\r\n', '')
('14:17:11.230977', b'D3-330************************\trssi:-55\r\n', '')
('14:17:11.230977', b'D3-331************************\trssi:-55\r\n', '')
('14:17:11.246598', b'D3-332************************\trssi:-55\r\n', '')
('14:17:11.246598', b's-dur: 71633\r\n', '')
('14:17:11.246598', b'>\r\n', 'sent:100-46*')
('14:17:11.277820', b'b-dur: 39652\r\n', '')
('14:17:11.277820', b'S\r\n', '')
