('14:55:11.672780', b's-dur: 82359\r\n', '')
('14:55:11.672780', b'>\r\n', 'sent:80-8379*')
('14:55:11.704307', b'b-dur: 39775\r\n', '')
('14:55:11.704307', b'>\r\n', 'sent:80-8380*')
('14:55:11.740181', b'b-dur: 29958\r\n', '')
('14:55:11.741370', b'S\r\n', '')
('14:55:11.804439', b'D3-89096**********************\trssi:-53\r\n', '')
('14:55:11.807434', b'D3-89098**********************\trssi:-53\r\n', '')
('14:55:11.811448', b'D3-89100**********************\trssi:-53\r\n', '')
('14:55:11.814448', b'D3-89101**********************\trssi:-53\r\n', '')
('14:55:11.818431', b'D3-89102**********************\trssi:-53\r\n', '')
('14:55:11.822426', b'D3-89095**********************\trssi:-54\r\n', '')
('14:55:11.825418', b'D3-89097**********************\trssi:-54\r\n', '')
('14:55:11.829400', b'D3-89099**********************\trssi:-54\r\n', '')
('14:55:11.830398', b's-dur: 78402\r\n', '')
('14:55:11.830398', b'>\r\n', 'sent:80-8381*')
('14:55:11.855424', b'b-dur: 39351\r\n', '')
('14:55:11.855424', b'>\r\n', 'sent:80-8382*')
('14:55:11.886813', b'b-dur: 30958\r\n', '')
('14:55:11.886813', b'>\r\n', 'sent:80-8383*')
('14:55:11.920499', b'b-dur: 29964\r\n', '')
('14:55:11.921387', b'S\r\n', '')
('14:55:11.971417', b'D3-89127**********************\trssi:-51\r\n', '')
('14:55:11.987039', b'D3-89128**********************\trssi:-51\r\n', '')
('14:55:11.987039', b'D3-89120**********************\trssi:-52\r\n', '')
('14:55:11.987039', b'D3-89121**********************\trssi:-52\r\n', '')
('14:55:11.987039', b'D3-89122**********************\trssi:-52\r\n', '')
('14:55:12.002682', b'D3-89123**********************\trssi:-52\r\n', '')
('14:55:12.002682', b'D3-89124**********************\trssi:-52\r\n', '')
('14:55:12.002682', b'D3-89125**********************\trssi:-52\r\n', '')
('14:55:12.002682', b'D3-89126**********************\trssi:-52\r\n', '')
('14:55:12.002682', b's-dur: 81970\r\n', '')
('14:55:12.002682', b'>\r\n', 'sent:80-8384*')
('14:55:12.043846', b'b-dur: 40791\r\n', '')
('14:55:12.045931', b'>\r\n', 'sent:80-8385*')
('14:55:12.071383', b'b-dur: 29958\r\n', '')
('14:55:12.071383', b'>\r\n', 'sent:80-8386*')
('14:55:12.102523', b'b-dur: 29964\r\n', '')
('14:55:12.102523', b'>\r\n', 'sent:80-8387*')
('14:55:12.135578', b'b-dur: 30964\r\n', '')
('14:55:12.136556', b'>\r\n', 'sent:80-8388*')
('14:55:12.166579', b'b-dur: 30964\r\n', '')
('14:55:12.167642', b'>\r\n', 'sent:80-8389*')
('14:55:12.187895', b'b-dur: 30964\r\n', '')
('14:55:12.187895', b'>\r\n', 'sent:80-8390*')
('14:55:12.227893', b'b-dur: 29964\r\n', '')
('14:55:12.227893', b'S\r\n', '')
('14:55:12.287249', b'D3-89169**********************\trssi:-51\r\n', '')
('14:55:12.287249', b'D3-89164**********************\trssi:-52\r\n', '')
('14:55:12.287249', b'D3-89165**********************\trssi:-52\r\n', '')
('14:55:12.287249', b'D3-89166**********************\trssi:-52\r\n', '')
('14:55:12.302630', b'D3-89167**********************\trssi:-52\r\n', '')
('14:55:12.302630', b'D3-89168**********************\trssi:-52\r\n', '')
('14:55:12.302630', b'D3-89170**********************\trssi:-52\r\n', '')
('14:55:12.302630', b'D3-89171**********************\trssi:-52\r\n', '')
('14:55:12.319609', b'D3-89172**********************\trssi:-52\r\n', '')
('14:55:12.320570', b's-dur: 81968\r\n', '')
('14:55:12.321572', b'>\r\n', 'sent:80-8391*')
('14:55:12.350395', b'b-dur: 39793\r\n', '')
('14:55:12.351372', b'>\r\n', 'sent:80-8392*')
('14:55:12.371745', b'b-dur: 30958\r\n', '')
('14:55:12.371745', b'S\r\n', '')
('14:55:12.445671', b'D3-89187**********************\trssi:-52\r\n', '')
('14:55:12.448638', b'D3-89188**********************\trssi:-52\r\n', '')
