('11:42:43.701192', b'S\r\n', '')
('11:42:43.779037', b'D1-859************************\trssi:-47\r\n', '')
('11:42:43.779037', b'D1-860************************\trssi:-47\r\n', '')
('11:42:43.779037', b'D1-861************************\trssi:-47\r\n', '')
('11:42:43.779037', b'D1-862************************\trssi:-47\r\n', '')
('11:42:43.779037', b'D1-863************************\trssi:-47\r\n', '')
('11:42:43.794751', b'D1-864************************\trssi:-47\r\n', '')
('11:42:43.794751', b'D1-865************************\trssi:-47\r\n', '')
('11:42:43.794751', b'D1-866************************\trssi:-47\r\n', '')
('11:42:43.794751', b'D1-867************************\trssi:-47\r\n', '')
('11:42:43.810427', b'D1-868************************\trssi:-47\r\n', '')
('11:42:43.810427', b'D1-869************************\trssi:-47\r\n', '')
('11:42:43.810427', b'D1-870************************\trssi:-47\r\n', '')
('11:42:43.810427', b'D1-871************************\trssi:-47\r\n', '')
('11:42:43.810427', b'D1-872************************\trssi:-48\r\n', '')
('11:42:43.825901', b'D1-873************************\trssi:-48\r\n', '')
('11:42:43.825901', b's-dur: 103633\r\n', '')
('11:42:43.841772', b'S\r\n', '')
('11:42:43.904088', b'D1-895************************\trssi:-47\r\n', '')
('11:42:43.904088', b'D1-896************************\trssi:-47\r\n', '')
('11:42:43.919625', b'D1-899************************\trssi:-47\r\n', '')
('11:42:43.919625', b'D1-900************************\trssi:-47\r\n', '')
('11:42:43.919625', b'D1-901************************\trssi:-47\r\n', '')
('11:42:43.919625', b'D1-902************************\trssi:-47\r\n', '')
('11:42:43.935218', b'D1-904************************\trssi:-47\r\n', '')
('11:42:43.935218', b'D1-894************************\trssi:-48\r\n', '')
('11:42:43.935218', b'D1-897************************\trssi:-48\r\n', '')
('11:42:43.935218', b'D1-898************************\trssi:-48\r\n', '')
('11:42:43.935218', b'D1-903************************\trssi:-48\r\n', '')
('11:42:43.950872', b'D1-905************************\trssi:-48\r\n', '')
('11:42:43.950872', b'D1-906************************\trssi:-48\r\n', '')
('11:42:43.950872', b'D1-907************************\trssi:-48\r\n', '')
('11:42:43.950872', b'D1-908************************\trssi:-48\r\n', '')
('11:42:43.950872', b's-dur: 103742\r\n', '')
('11:42:43.950872', b'S\r\n', '')
('11:42:44.013601', b'D1-921************************\trssi:-47\r\n', '')
('11:42:44.013601', b'D1-923************************\trssi:-47\r\n', '')
('11:42:44.013601', b'D1-925************************\trssi:-47\r\n', '')
('11:42:44.028946', b'D1-926************************\trssi:-47\r\n', '')
('11:42:44.028946', b'D1-928************************\trssi:-47\r\n', '')
('11:42:44.028946', b'D1-930************************\trssi:-47\r\n', '')
('11:42:44.028946', b'D1-931************************\trssi:-47\r\n', '')
('11:42:44.028946', b'D1-933************************\trssi:-47\r\n', '')
('11:42:44.044705', b'D1-920************************\trssi:-48\r\n', '')
('11:42:44.044705', b'D1-922************************\trssi:-48\r\n', '')
('11:42:44.044705', b'D1-927************************\trssi:-48\r\n', '')
('11:42:44.044705', b'D1-929************************\trssi:-48\r\n', '')
('11:42:44.060189', b'D1-932************************\trssi:-48\r\n', '')
('11:42:44.060189', b'D1-934************************\trssi:-48\r\n', '')
('11:42:44.060189', b'D1-924************************\trssi:-49\r\n', '')
('11:42:44.060189', b's-dur: 103774\r\n', '')
('11:42:44.591505', b'S\r\n', '')
('11:42:44.653822', b'D1-1086***********************\trssi:-47\r\n', '')
('11:42:44.653822', b'D1-1094***********************\trssi:-47\r\n', '')
('11:42:44.669433', b'D1-1097***********************\trssi:-47\r\n', '')
('11:42:44.669433', b'D1-1084***********************\trssi:-48\r\n', '')
('11:42:44.669433', b'D1-1085***********************\trssi:-48\r\n', '')
('11:42:44.669433', b'D1-1087***********************\trssi:-48\r\n', '')
('11:42:44.685066', b'D1-1088***********************\trssi:-48\r\n', '')
('11:42:44.685066', b'D1-1089***********************\trssi:-48\r\n', '')
('11:42:44.685066', b'D1-1090***********************\trssi:-48\r\n', '')
('11:42:44.685066', b'D1-1091***********************\trssi:-48\r\n', '')
('11:42:44.685066', b'D1-1092***********************\trssi:-48\r\n', '')
('11:42:44.700713', b'D1-1093***********************\trssi:-48\r\n', '')
('11:42:44.700713', b'D1-1095***********************\trssi:-48\r\n', '')
('11:42:44.700713', b'D1-1096***********************\trssi:-48\r\n', '')
('11:42:44.700713', b'D1-1098***********************\trssi:-48\r\n', '')
('11:42:44.716460', b'D1-1099***********************\trssi:-48\r\n', '')
('11:42:44.716460', b's-dur: 107246\r\n', '')
('11:42:44.732179', b'S\r\n', '')
('11:42:44.794667', b'D1-1120***********************\trssi:-47\r\n', '')
('11:42:44.794667', b'D1-1121***********************\trssi:-47\r\n', '')
('11:42:44.794667', b'D1-1122***********************\trssi:-47\r\n', '')
('11:42:44.810040', b'D1-1123***********************\trssi:-47\r\n', '')
('11:42:44.810040', b'D1-1124***********************\trssi:-47\r\n', '')
('11:42:44.810040', b'D1-1125***********************\trssi:-47\r\n', '')
('11:42:44.810040', b'D1-1126***********************\trssi:-47\r\n', '')
('11:42:44.825757', b'D1-1131***********************\trssi:-47\r\n', '')
('11:42:44.825757', b'D1-1127***********************\trssi:-48\r\n', '')
('11:42:44.825757', b'D1-1129***********************\trssi:-48\r\n', '')
('11:42:44.825757', b'D1-1130***********************\trssi:-48\r\n', '')
('11:42:44.841256', b'D1-1132***********************\trssi:-48\r\n', '')
('11:42:44.841256', b'D1-1133***********************\trssi:-48\r\n', '')
