('14:57:26.299565', b'D3-217************************\trssi:-43\r\n', '')
('14:57:26.299565', b'D3-218************************\trssi:-43\r\n', '')
('14:57:26.299565', b'D3-219************************\trssi:-43\r\n', '')
('14:57:26.299565', b'D3-220************************\trssi:-43\r\n', '')
('14:57:26.299565', b's-dur: 67699\r\n', '')
('14:57:26.299565', b'>\r\n', 'sent:64-57*')
('14:57:26.341245', b'b-dur: 38056\r\n', '')
('14:57:26.341245', b'>\r\n', 'sent:64-58*')
('14:57:26.371576', b'b-dur: 29962\r\n', '')
('14:57:26.371576', b'>\r\n', 'sent:64-59*')
('14:57:26.400277', b'b-dur: 29964\r\n', '')
('14:57:26.400277', b'>\r\n', 'sent:64-60*')
('14:57:26.431544', b'b-dur: 29964\r\n', '')
('14:57:26.431544', b'>\r\n', 'sent:64-61*')
('14:57:26.462553', b'b-dur: 30964\r\n', '')
('14:57:26.462553', b'>\r\n', 'sent:64-62*')
('14:57:26.483146', b'b-dur: 28964\r\n', '')
('14:57:26.483146', b'>\r\n', 'sent:64-63*')
('14:57:26.514682', b'b-dur: 28964\r\n', '')
('14:57:26.514682', b'>\r\n', 'sent:64-64*')
('14:57:26.549696', b'b-dur: 29964\r\n', '')
('14:57:26.550684', b'>\r\n', 'sent:64-65*')
('14:57:26.567224', b'b-dur: 28964\r\n', '')
('14:57:26.567224', b'>\r\n', 'sent:64-66*')
('14:57:26.598763', b'b-dur: 28964\r\n', '')
('14:57:26.598763', b'>\r\n', 'sent:64-67*')
('14:57:26.637172', b'b-dur: 28964\r\n', '')
('14:57:26.637552', b'>\r\n', 'sent:64-68*')
('14:57:26.666289', b'b-dur: 28964\r\n', '')
('14:57:26.666289', b'S\r\n', '')
('14:57:26.730198', b'D3-253************************\trssi:-42\r\n', '')
('14:57:26.733485', b'D3-249************************\trssi:-43\r\n', '')
('14:57:26.737474', b'D3-250************************\trssi:-43\r\n', '')
('14:57:26.740388', b'D3-251************************\trssi:-43\r\n', '')
('14:57:26.744564', b'D3-252************************\trssi:-43\r\n', '')
('14:57:26.745588', b's-dur: 67723\r\n', '')
('14:57:26.745588', b'>\r\n', 'sent:64-69*')
('14:57:26.767146', b'b-dur: 40032\r\n', '')
('14:57:26.767146', b'S\r\n', '')
('14:57:26.838378', b'D3-257************************\trssi:-43\r\n', '')
('14:57:26.842447', b'D3-258************************\trssi:-43\r\n', '')
('14:57:26.846567', b'D3-259************************\trssi:-43\r\n', '')
('14:57:26.849561', b'D3-260************************\trssi:-43\r\n', '')
('14:57:26.853466', b'D3-261************************\trssi:-43\r\n', '')
('14:57:26.854568', b's-dur: 67678\r\n', '')
('14:57:26.854568', b'>\r\n', 'sent:64-70*')
('14:57:26.883109', b'b-dur: 39075\r\n', '')
('14:57:26.883109', b'>\r\n', 'sent:64-71*')
('14:57:26.899001', b'b-dur: 28962\r\n', '')
('14:57:26.899001', b'>\r\n', 'sent:64-72*')
('14:57:26.940564', b'b-dur: 27964\r\n', '')
('14:57:26.940564', b'>\r\n', 'sent:64-73*')
('14:57:26.967908', b'b-dur: 28964\r\n', '')
('14:57:26.967908', b'S\r\n', '')
('14:57:27.032682', b'D3-273************************\trssi:-43\r\n', '')
('14:57:27.035675', b'D3-274************************\trssi:-43\r\n', '')
('14:57:27.039663', b'D3-275************************\trssi:-43\r\n', '')
('14:57:27.043438', b'D3-276************************\trssi:-44\r\n', '')
('14:57:27.044468', b's-dur: 64131\r\n', '')
('14:57:27.045371', b'>\r\n', 'sent:64-74*')
('14:57:27.073124', b'b-dur: 38624\r\n', '')
('14:57:27.073124', b'S\r\n', '')
('14:57:27.136430', b'D3-281************************\trssi:-43\r\n', '')
('14:57:27.140423', b'D3-282************************\trssi:-43\r\n', '')
('14:57:27.143424', b'D3-283************************\trssi:-43\r\n', '')
('14:57:27.147389', b'D3-284************************\trssi:-43\r\n', '')
('14:57:27.148249', b's-dur: 64117\r\n', '')
('14:57:27.149365', b'S\r\n', '')
('14:57:27.197556', b'D3-286************************\trssi:-43\r\n', '')
('14:57:27.197556', b'D3-287************************\trssi:-43\r\n', '')
('14:57:27.197556', b'D3-288************************\trssi:-43\r\n', '')
('14:57:27.213182', b'D3-289************************\trssi:-43\r\n', '')
('14:57:27.213182', b's-dur: 64458\r\n', '')
('14:57:27.213182', b'>\r\n', 'sent:64-75*')
('14:57:27.243601', b'b-dur: 39967\r\n', '')
('14:57:27.244601', b'S\r\n', '')
('14:57:27.298751', b'D3-296************************\trssi:-42\r\n', '')
('14:57:27.298751', b'D3-294************************\trssi:-43\r\n', '')
('14:57:27.314220', b'D3-295************************\trssi:-43\r\n', '')
('14:57:27.314220', b'D3-297************************\trssi:-43\r\n', '')
('14:57:27.314220', b's-dur: 64131\r\n', '')
('14:57:27.314220', b'S\r\n', '')
('14:57:27.366301', b'D3-300************************\trssi:-42\r\n', '')
('14:57:27.366301', b'D3-301************************\trssi:-42\r\n', '')
('14:57:27.366301', b'D3-299************************\trssi:-43\r\n', '')
('14:57:27.381937', b'D3-302************************\trssi:-43\r\n', '')
('14:57:27.381937', b's-dur: 64467\r\n', '')
('14:57:27.381937', b'>\r\n', 'sent:64-76*')
('14:57:27.413199', b'b-dur: 38944\r\n', '')
('14:57:27.413199', b'>\r\n', 'sent:64-77*')
('14:57:27.444288', b'b-dur: 29962\r\n', '')
('14:57:27.444288', b'>\r\n', 'sent:64-78*')
('14:57:27.474395', b'b-dur: 29964\r\n', '')
('14:57:27.474395', b'S\r\n', '')
('14:57:27.537584', b'D3-313************************\trssi:-42\r\n', '')
('14:57:27.541625', b'D3-311************************\trssi:-43\r\n', '')
('14:57:27.545597', b'D3-312************************\trssi:-43\r\n', '')
('14:57:27.548568', b'D3-314************************\trssi:-43\r\n', '')
('14:57:27.552263', b'D3-315************************\trssi:-43\r\n', '')
('14:57:27.552896', b's-dur: 67702\r\n', '')
('14:57:27.552896', b'>\r\n', 'sent:64-79*')
('14:57:27.582598', b'b-dur: 39053\r\n', '')
('14:57:27.582598', b'S\r\n', '')
('14:57:27.645557', b'D3-320************************\trssi:-43\r\n', '')
('14:57:27.648879', b'D3-321************************\trssi:-43\r\n', '')
('14:57:27.653357', b'D3-323************************\trssi:-43\r\n', '')
('14:57:27.656588', b'D3-322************************\trssi:-44\r\n', '')
('14:57:27.657578', b's-dur: 64123\r\n', '')
('14:57:27.658621', b'>\r\n', 'sent:64-80*')
('14:57:27.684153', b'b-dur: 39630\r\n', '')
('14:57:27.684153', b'S\r\n', '')
('14:57:27.749875', b'D3-328************************\trssi:-42\r\n', '')
('14:57:27.753863', b'D3-329************************\trssi:-43\r\n', '')
('14:57:27.758368', b'D3-330************************\trssi:-43\r\n', '')
('14:57:27.760699', b'D3-331************************\trssi:-43\r\n', '')
('14:57:27.761696', b's-dur: 64127\r\n', '')
('14:57:27.762693', b'S\r\n', '')
('14:57:27.815670', b'D3-333************************\trssi:-43\r\n', '')
('14:57:27.815670', b'D3-334************************\trssi:-43\r\n', '')
('14:57:27.815670', b'D3-335************************\trssi:-43\r\n', '')
('14:57:27.815670', b'D3-337************************\trssi:-43\r\n', '')
('14:57:27.815670', b'D3-336************************\trssi:-44\r\n', '')
('14:57:27.831790', b's-dur: 68030\r\n', '')
('14:57:27.831790', b'S\r\n', '')
('14:57:27.882870', b'D3-342************************\trssi:-42\r\n', '')
('14:57:27.882870', b'D3-338************************\trssi:-43\r\n', '')
('14:57:27.882870', b'D3-339************************\trssi:-43\r\n', '')
('14:57:27.882870', b'D3-340************************\trssi:-43\r\n', '')
('14:57:27.898535', b'D3-341************************\trssi:-43\r\n', '')
('14:57:27.898535', b's-dur: 68036\r\n', '')
('14:57:27.898535', b'S\r\n', '')
('14:57:27.955630', b'D3-344************************\trssi:-43\r\n', '')
('14:57:27.957603', b'D3-345************************\trssi:-43\r\n', '')
('14:57:27.961591', b'D3-346************************\trssi:-43\r\n', '')
('14:57:27.964583', b'D3-347************************\trssi:-43\r\n', '')
('14:57:27.966578', b's-dur: 64490\r\n', '')
('14:57:27.966578', b'>\r\n', 'sent:64-81*')
('14:57:27.984037', b'b-dur: 40437\r\n', '')
('14:57:27.984037', b'S\r\n', '')
('14:57:28.060117', b'D3-352************************\trssi:-43\r\n', '')
('14:57:28.064299', b'D3-353************************\trssi:-43\r\n', '')
('14:57:28.068518', b'D3-355************************\trssi:-43\r\n', '')
('14:57:28.071525', b'D3-354************************\trssi:-44\r\n', '')
('14:57:28.072572', b's-dur: 64117\r\n', '')
('14:57:28.073528', b'S\r\n', '')
('14:57:28.114082', b'D3-357************************\trssi:-43\r\n', '')
('14:57:28.130001', b'D3-360************************\trssi:-43\r\n', '')
('14:57:28.133024', b'D3-358************************\trssi:-44\r\n', '')
('14:57:28.137247', b'D3-359************************\trssi:-44\r\n', '')
('14:57:28.138185', b's-dur: 64435\r\n', '')
('14:57:28.138185', b'>\r\n', 'sent:64-82*')
('14:57:28.167582', b'b-dur: 39990\r\n', '')
('14:57:28.167582', b'>\r\n', 'sent:64-83*')
('14:57:28.198810', b'b-dur: 29962\r\n', '')
('14:57:28.198810', b'S\r\n', '')
('14:57:28.261391', b'D3-367************************\trssi:-42\r\n', '')
('14:57:28.265549', b'D3-368************************\trssi:-43\r\n', '')
('14:57:28.269533', b'D3-369************************\trssi:-43\r\n', '')
('14:57:28.272587', b'D3-371************************\trssi:-43\r\n', '')
('14:57:28.276608', b'D3-370************************\trssi:-44\r\n', '')
('14:57:28.277577', b's-dur: 67723\r\n', '')
('14:57:28.277577', b'>\r\n', 'sent:64-84*')
('14:57:28.299530', b'b-dur: 38032\r\n', '')
('14:57:28.299530', b'S\r\n', '')
('14:57:28.368529', b'D3-375************************\trssi:-43\r\n', '')
('14:57:28.372549', b'D3-376************************\trssi:-43\r\n', '')
('14:57:28.375542', b'D3-377************************\trssi:-43\r\n', '')
('14:57:28.379450', b'D3-378************************\trssi:-43\r\n', '')
('14:57:28.383594', b'D3-379************************\trssi:-44\r\n', '')
