('14:29:46.479357', b's-dur: 71615\r\n', '')
('14:29:46.479357', b'>\r\n', 'sent:100-10924*')
('14:29:46.514150', b'b-dur: 40242\r\n', '')
('14:29:46.515128', b'>\r\n', 'sent:100-10925*')
('14:29:46.543500', b'b-dur: 29960\r\n', '')
('14:29:46.545494', b'>\r\n', 'sent:100-10926*')
('14:29:46.563110', b'b-dur: 29964\r\n', '')
('14:29:46.563110', b'>\r\n', 'sent:100-10927*')
('14:29:46.594369', b'b-dur: 30964\r\n', '')
('14:29:46.594369', b'S\r\n', '')
('14:29:46.664675', b'D3-75869**********************\trssi:-41\r\n', '')
('14:29:46.664675', b'D3-75870**********************\trssi:-42\r\n', '')
('14:29:46.664675', b'D3-75872**********************\trssi:-42\r\n', '')
('14:29:46.664675', b'D3-75873**********************\trssi:-42\r\n', '')
('14:29:46.680223', b'D3-75871**********************\trssi:-43\r\n', '')
('14:29:46.680223', b'D3-75874**********************\trssi:-43\r\n', '')
('14:29:46.680223', b's-dur: 71276\r\n', '')
('14:29:46.680223', b'S\r\n', '')
('14:29:46.742406', b'D3-75879**********************\trssi:-41\r\n', '')
('14:29:46.745397', b'D3-75880**********************\trssi:-41\r\n', '')
('14:29:46.749387', b'D3-75876**********************\trssi:-43\r\n', '')
('14:29:46.752314', b'D3-75877**********************\trssi:-43\r\n', '')
('14:29:46.756239', b'D3-75878**********************\trssi:-43\r\n', '')
('14:29:46.759215', b'D3-75881**********************\trssi:-43\r\n', '')
('14:29:46.760622', b's-dur: 71617\r\n', '')
('14:29:46.760622', b'S\r\n', '')
('14:29:46.813822', b'D3-75888**********************\trssi:-41\r\n', '')
('14:29:46.818199', b'D3-75885**********************\trssi:-42\r\n', '')
('14:29:46.821221', b'D3-75886**********************\trssi:-42\r\n', '')
('14:29:46.825003', b'D3-75887**********************\trssi:-42\r\n', '')
('14:29:46.829264', b'D3-75884**********************\trssi:-43\r\n', '')
('14:29:46.832054', b'D3-75889**********************\trssi:-43\r\n', '')
('14:29:46.833080', b's-dur: 71580\r\n', '')
('14:29:46.834053', b'>\r\n', 'sent:100-10928*')
('14:29:46.861773', b'b-dur: 38861\r\n', '')
('14:29:46.862771', b'>\r\n', 'sent:100-10929*')
('14:29:46.891325', b'b-dur: 28960\r\n', '')
('14:29:46.892325', b'S\r\n', '')
('14:29:46.955199', b'D3-75898**********************\trssi:-41\r\n', '')
('14:29:46.958195', b'D3-75901**********************\trssi:-41\r\n', '')
('14:29:46.962217', b'D3-75899**********************\trssi:-42\r\n', '')
('14:29:46.964368', b'D3-75900**********************\trssi:-42\r\n', '')
('14:29:46.964368', b'D3-75903**********************\trssi:-42\r\n', '')
('14:29:46.964368', b'D3-75902**********************\trssi:-43\r\n', '')
('14:29:46.964368', b's-dur: 71277\r\n', '')
('14:29:46.964368', b'>\r\n', 'sent:100-10930*')
('14:29:46.995891', b'b-dur: 40479\r\n', '')
('14:29:46.995891', b'S\r\n', '')
('14:29:47.064827', b'D3-75909**********************\trssi:-41\r\n', '')
('14:29:47.064827', b'D3-75910**********************\trssi:-42\r\n', '')
('14:29:47.064827', b'D3-75911**********************\trssi:-42\r\n', '')
('14:29:47.064827', b'D3-75912**********************\trssi:-43\r\n', '')
('14:29:47.080451', b'D3-75913**********************\trssi:-43\r\n', '')
('14:29:47.080451', b'D3-75914**********************\trssi:-43\r\n', '')
('14:29:47.080451', b's-dur: 71268\r\n', '')
('14:29:47.080451', b'>\r\n', 'sent:100-10931*')
('14:29:47.117224', b'b-dur: 40484\r\n', '')
('14:29:47.118157', b'>\r\n', 'sent:100-10932*')
('14:29:47.146346', b'b-dur: 29960\r\n', '')
('14:29:47.148202', b'S\r\n', '')
('14:29:47.211416', b'D3-75924**********************\trssi:-43\r\n', '')
('14:29:47.213711', b'D3-75925**********************\trssi:-43\r\n', '')
('14:29:47.217881', b'D3-75926**********************\trssi:-43\r\n', '')
('14:29:47.220634', b'D3-75923**********************\trssi:-44\r\n', '')
('14:29:47.225259', b'D3-75928**********************\trssi:-44\r\n', '')
('14:29:47.228285', b'D3-75927**********************\trssi:-45\r\n', '')
('14:29:47.230250', b's-dur: 71248\r\n', '')
('14:29:47.230250', b'>\r\n', 'sent:100-10933*')
('14:29:47.259121', b'b-dur: 39508\r\n', '')
('14:29:47.260095', b'S\r\n', '')
('14:29:47.323067', b'D3-75935**********************\trssi:-43\r\n', '')
('14:29:47.326077', b'D3-75936**********************\trssi:-43\r\n', '')
('14:29:47.330080', b'D3-75938**********************\trssi:-43\r\n', '')
('14:29:47.333115', b'D3-75937**********************\trssi:-44\r\n', '')
('14:29:47.337260', b'D3-75939**********************\trssi:-44\r\n', '')
('14:29:47.341304', b'D3-75940**********************\trssi:-44\r\n', '')
('14:29:47.342292', b's-dur: 71307\r\n', '')
('14:29:47.342292', b'S\r\n', '')
('14:29:47.394345', b'D3-75943**********************\trssi:-43\r\n', '')
('14:29:47.394345', b'D3-75944**********************\trssi:-43\r\n', '')
('14:29:47.394345', b'D3-75942**********************\trssi:-44\r\n', '')
('14:29:47.394345', b'D3-75945**********************\trssi:-44\r\n', '')
('14:29:47.410398', b'D3-75946**********************\trssi:-44\r\n', '')
('14:29:47.413420', b'D3-75947**********************\trssi:-44\r\n', '')
('14:29:47.414391', b's-dur: 71701\r\n', '')
('14:29:47.415386', b'>\r\n', 'sent:100-10934*')
('14:29:47.446092', b'b-dur: 41533\r\n', '')
('14:29:47.447060', b'>\r\n', 'sent:100-10935*')
('14:29:47.464343', b'b-dur: 30959\r\n', '')
('14:29:47.464343', b'S\r\n', '')
('14:29:47.541250', b'D3-75956**********************\trssi:-42\r\n', '')
('14:29:47.544225', b'D3-75957**********************\trssi:-43\r\n', '')
('14:29:47.548202', b'D3-75958**********************\trssi:-43\r\n', '')
('14:29:47.551303', b'D3-75959**********************\trssi:-43\r\n', '')
('14:29:47.555256', b'D3-75961**********************\trssi:-43\r\n', '')
('14:29:47.558276', b'D3-75960**********************\trssi:-44\r\n', '')
('14:29:47.560271', b's-dur: 71285\r\n', '')
('14:29:47.560271', b'S\r\n', '')
('14:29:47.614127', b'D3-75965**********************\trssi:-42\r\n', '')
('14:29:47.617250', b'D3-75968**********************\trssi:-42\r\n', '')
('14:29:47.621288', b'D3-75969**********************\trssi:-42\r\n', '')
('14:29:47.624256', b'D3-75964**********************\trssi:-43\r\n', '')
('14:29:47.628279', b'D3-75966**********************\trssi:-43\r\n', '')
('14:29:47.632221', b'D3-75967**********************\trssi:-43\r\n', '')
('14:29:47.633189', b's-dur: 71773\r\n', '')
('14:29:47.633189', b'>\r\n', 'sent:100-10936*')
('14:29:47.648325', b'b-dur: 38487\r\n', '')
('14:29:47.648325', b'>\r\n', 'sent:100-10937*')
('14:29:47.679844', b'b-dur: 29960\r\n', '')
('14:29:47.679844', b'>\r\n', 'sent:100-10938*')
('14:29:47.720128', b'b-dur: 28964\r\n', '')
('14:29:47.721215', b'>\r\n', 'sent:100-10939*')
('14:29:47.750221', b'b-dur: 29964\r\n', '')
('14:29:47.751419', b'>\r\n', 'sent:100-10940*')
('14:29:47.779678', b'b-dur: 28964\r\n', '')
('14:29:47.779678', b'S\r\n', '')
('14:29:47.843048', b'D3-75987**********************\trssi:-41\r\n', '')
('14:29:47.846198', b'D3-75988**********************\trssi:-42\r\n', '')
('14:29:47.848327', b'D3-75989**********************\trssi:-42\r\n', '')
('14:29:47.848327', b'D3-75990**********************\trssi:-42\r\n', '')
('14:29:47.848327', b'D3-75991**********************\trssi:-42\r\n', '')
('14:29:47.848327', b'D3-75986**********************\trssi:-43\r\n', '')
('14:29:47.848327', b's-dur: 71359\r\n', '')
('14:29:47.848327', b'>\r\n', 'sent:100-10941*')
('14:29:47.879849', b'b-dur: 37402\r\n', '')
('14:29:47.879849', b'>\r\n', 'sent:100-10942*')
('14:29:47.921326', b'b-dur: 32949\r\n', '')
('14:29:47.922323', b'>\r\n', 'sent:100-10943*')
('14:29:47.952970', b'b-dur: 30964\r\n', '')
('14:29:47.953934', b'S\r\n', '')
('14:29:48.016956', b'D3-76009**********************\trssi:-41\r\n', '')
('14:29:48.020050', b'D3-76005**********************\trssi:-42\r\n', '')
