('16:53:55.417453', b'D3-51918**********************\trssi:-42\r\n', '')
('16:53:55.417453', b'D3-51920**********************\trssi:-42\r\n', '')
('16:53:55.417453', b'D3-51921**********************\trssi:-42\r\n', '')
('16:53:55.433133', b'D3-51902**********************\trssi:-43\r\n', '')
('16:53:55.433133', b'D3-51903**********************\trssi:-43\r\n', '')
('16:53:55.433133', b'D3-51905**********************\trssi:-43\r\n', '')
('16:53:55.433133', b'D3-51906**********************\trssi:-43\r\n', '')
('16:53:55.433133', b'D3-51912**********************\trssi:-43\r\n', '')
('16:53:55.448782', b'D3-51915**********************\trssi:-43\r\n', '')
('16:53:55.448782', b'D3-51916**********************\trssi:-43\r\n', '')
('16:53:55.455288', b'D3-51919**********************\trssi:-43\r\n', '')
('16:53:55.455288', b'D3-51923**********************\trssi:-43\r\n', '')
('16:53:55.455288', b'D3-51926**********************\trssi:-43\r\n', '')
('16:53:55.455288', b'D3-51927**********************\trssi:-43\r\n', '')
('16:53:55.470928', b'D3-51928**********************\trssi:-43\r\n', '')
('16:53:55.470928', b'D3-51930**********************\trssi:-43\r\n', '')
('16:53:55.470928', b'D3-51932**********************\trssi:-43\r\n', '')
('16:53:55.470928', b'D3-51934**********************\trssi:-43\r\n', '')
('16:53:55.470928', b'D3-51901**********************\trssi:-44\r\n', '')
('16:53:55.486535', b'D3-51904**********************\trssi:-44\r\n', '')
('16:53:55.486535', b'D3-51908**********************\trssi:-44\r\n', '')
('16:53:55.486535', b'D3-51910**********************\trssi:-44\r\n', '')
('16:53:55.486535', b'D3-51911**********************\trssi:-44\r\n', '')
('16:53:55.502187', b'D3-51913**********************\trssi:-44\r\n', '')
('16:53:55.502187', b'D3-51914**********************\trssi:-44\r\n', '')
('16:53:55.502187', b'D3-51917**********************\trssi:-44\r\n', '')
('16:53:55.502187', b'D3-51922**********************\trssi:-44\r\n', '')
('16:53:55.517959', b'D3-51924**********************\trssi:-44\r\n', '')
('16:53:55.517959', b'D3-51925**********************\trssi:-44\r\n', '')
('16:53:55.517959', b'D3-51929**********************\trssi:-44\r\n', '')
('16:53:55.517959', b'D3-51931**********************\trssi:-44\r\n', '')
('16:53:55.517959', b'D3-51933**********************\trssi:-44\r\n', '')
('16:53:55.533421', b's-dur: 171207\r\n', '')
('16:53:55.533421', b'S\r\n', '')
('16:53:55.586943', b'D3-51989**********************\trssi:-42\r\n', '')
('16:53:55.586943', b'D3-51994**********************\trssi:-42\r\n', '')
('16:53:55.586943', b'D3-51995**********************\trssi:-42\r\n', '')
('16:53:55.586943', b'D3-52009**********************\trssi:-42\r\n', '')
('16:53:55.586943', b'D3-51987**********************\trssi:-43\r\n', '')
('16:53:55.602396', b'D3-51988**********************\trssi:-43\r\n', '')
('16:53:55.602396', b'D3-51990**********************\trssi:-43\r\n', '')
('16:53:55.602396', b'D3-51991**********************\trssi:-43\r\n', '')
('16:53:55.602396', b'D3-51993**********************\trssi:-43\r\n', '')
('16:53:55.618188', b'D3-51996**********************\trssi:-43\r\n', '')
('16:53:55.618188', b'D3-51997**********************\trssi:-43\r\n', '')
('16:53:55.618188', b'D3-51999**********************\trssi:-43\r\n', '')
('16:53:55.618188', b'D3-52000**********************\trssi:-43\r\n', '')
('16:53:55.633804', b'D3-52001**********************\trssi:-43\r\n', '')
('16:53:55.633804', b'D3-52002**********************\trssi:-43\r\n', '')
('16:53:55.633804', b'D3-52004**********************\trssi:-43\r\n', '')
('16:53:55.633804', b'D3-52005**********************\trssi:-43\r\n', '')
('16:53:55.633804', b'D3-52007**********************\trssi:-43\r\n', '')
('16:53:55.649245', b'D3-52008**********************\trssi:-43\r\n', '')
('16:53:55.649245', b'D3-52011**********************\trssi:-43\r\n', '')
('16:53:55.655927', b'D3-51992**********************\trssi:-44\r\n', '')
('16:53:55.655927', b'D3-52003**********************\trssi:-44\r\n', '')
('16:53:55.655927', b'D3-52006**********************\trssi:-44\r\n', '')
('16:53:55.655927', b'D3-52010**********************\trssi:-44\r\n', '')
('16:53:55.671568', b'D3-51998**********************\trssi:-45\r\n', '')
('16:53:55.671568', b's-dur: 139528\r\n', '')
('16:53:55.671568', b'>\r\n', 'sent:120-20*')
('16:53:55.702810', b'b-dur: 39629\r\n', '')
('16:53:55.702810', b'S\r\n', '')
('16:53:55.756202', b'D3-52069**********************\trssi:-42\r\n', '')
('16:53:55.756202', b'D3-52078**********************\trssi:-42\r\n', '')
('16:53:55.772024', b'D3-52089**********************\trssi:-42\r\n', '')
('16:53:55.772024', b'D3-52067**********************\trssi:-43\r\n', '')
('16:53:55.772024', b'D3-52068**********************\trssi:-43\r\n', '')
('16:53:55.772024', b'D3-52070**********************\trssi:-43\r\n', '')
('16:53:55.787449', b'D3-52071**********************\trssi:-43\r\n', '')
('16:53:55.787449', b'D3-52073**********************\trssi:-43\r\n', '')
('16:53:55.787449', b'D3-52074**********************\trssi:-43\r\n', '')
('16:53:55.787449', b'D3-52075**********************\trssi:-43\r\n', '')
('16:53:55.803115', b'D3-52076**********************\trssi:-43\r\n', '')
('16:53:55.803115', b'D3-52079**********************\trssi:-43\r\n', '')
('16:53:55.803115', b'D3-52080**********************\trssi:-43\r\n', '')
