('15:59:29.598757', b'D3-188************************\trssi:-46\r\n', '')
('15:59:29.598757', b'D3-189************************\trssi:-46\r\n', '')
('15:59:29.598757', b'D3-190************************\trssi:-46\r\n', '')
('15:59:29.598757', b's-dur: 61630\r\n', '')
('15:59:29.598757', b'>\r\n', 'sent:50-89*')
('15:59:29.630270', b'b-dur: 40999\r\n', '')
('15:59:29.630270', b'>\r\n', 'sent:50-90*')
('15:59:29.673151', b'b-dur: 29960\r\n', '')
('15:59:29.673151', b'>\r\n', 'sent:50-91*')
('15:59:29.698730', b'b-dur: 28964\r\n', '')
('15:59:29.698730', b'S\r\n', '')
('15:59:29.764836', b'D3-196************************\trssi:-46\r\n', '')
('15:59:29.769116', b'D3-197************************\trssi:-46\r\n', '')
('15:59:29.772028', b'D3-198************************\trssi:-47\r\n', '')
('15:59:29.773136', b's-dur: 61334\r\n', '')
('15:59:29.774113', b'>\r\n', 'sent:50-92*')
('15:59:29.797680', b'b-dur: 40156\r\n', '')
('15:59:29.797680', b'>\r\n', 'sent:50-93*')
('15:59:29.828873', b'b-dur: 29960\r\n', '')
('15:59:29.828873', b'S\r\n', '')
('15:59:29.897300', b'D3-203************************\trssi:-46\r\n', '')
('15:59:29.898362', b'D3-204************************\trssi:-46\r\n', '')
('15:59:29.898362', b'D3-205************************\trssi:-46\r\n', '')
('15:59:29.898362', b's-dur: 61292\r\n', '')
('15:59:29.898362', b'>\r\n', 'sent:50-94*')
('15:59:29.929888', b'b-dur: 40198\r\n', '')
('15:59:29.929888', b'S\r\n', '')
('15:59:29.998114', b'D3-208************************\trssi:-45\r\n', '')
('15:59:29.998114', b'D3-209************************\trssi:-46\r\n', '')
('15:59:29.998114', b'D3-210************************\trssi:-46\r\n', '')
('15:59:29.998114', b's-dur: 61283\r\n', '')
('15:59:29.998114', b'>\r\n', 'sent:50-95*')
('15:59:30.029442', b'b-dur: 40203\r\n', '')
('15:59:30.029442', b'>\r\n', 'sent:50-96*')
('15:59:30.068116', b'b-dur: 29960\r\n', '')
('15:59:30.068116', b'>\r\n', 'sent:50-97*')
('15:59:30.097883', b'b-dur: 29964\r\n', '')
('15:59:30.097883', b'>\r\n', 'sent:50-98*')
('15:59:30.114956', b'b-dur: 29964\r\n', '')
('15:59:30.114956', b'>\r\n', 'sent:50-99*')
('15:59:30.158182', b'b-dur: 29964\r\n', '')
('15:59:30.158182', b'S\r\n', '')
('15:59:30.215063', b'D3-219************************\trssi:-46\r\n', '')
('15:59:30.215063', b'D3-220************************\trssi:-46\r\n', '')
('15:59:30.215063', b'D3-221************************\trssi:-46\r\n', '')
('15:59:30.215063', b's-dur: 61303\r\n', '')
('15:59:30.215063', b'>\r\n', 'sent:50-100*')
('15:59:30.260172', b'b-dur: 40186\r\n', '')
('15:59:30.260172', b'>\r\n', 'sent:50-101*')
('15:59:30.291184', b'b-dur: 30960\r\n', '')
('15:59:30.291441', b'>\r\n', 'sent:50-102*')
('15:59:30.314158', b'b-dur: 29964\r\n', '')
('15:59:30.314158', b'S\r\n', '')
('15:59:30.383186', b'D3-228************************\trssi:-46\r\n', '')
('15:59:30.383186', b'D3-227************************\trssi:-47\r\n', '')
('15:59:30.383186', b'D3-229************************\trssi:-47\r\n', '')
('15:59:30.383186', b's-dur: 61297\r\n', '')
('15:59:30.383186', b'S\r\n', '')
('15:59:30.446025', b'D3-230************************\trssi:-46\r\n', '')
('15:59:30.450016', b'D3-232************************\trssi:-46\r\n', '')
('15:59:30.453216', b'D3-231************************\trssi:-47\r\n', '')
('15:59:30.454180', b's-dur: 61640\r\n', '')
('15:59:30.455210', b'>\r\n', 'sent:50-103*')
('15:59:30.484178', b'b-dur: 39077\r\n', '')
('15:59:30.484178', b'>\r\n', 'sent:50-104*')
('15:59:30.513823', b'b-dur: 29960\r\n', '')
('15:59:30.513823', b'>\r\n', 'sent:50-105*')
('15:59:30.529737', b'b-dur: 28964\r\n', '')
('15:59:30.529737', b'S\r\n', '')
('15:59:30.597319', b'D3-240************************\trssi:-45\r\n', '')
('15:59:30.597319', b'D3-238************************\trssi:-46\r\n', '')
('15:59:30.612855', b'D3-239************************\trssi:-46\r\n', '')
('15:59:30.612855', b's-dur: 61301\r\n', '')
('15:59:30.612855', b'>\r\n', 'sent:50-106*')
('15:59:30.644357', b'b-dur: 40188\r\n', '')
('15:59:30.644357', b'S\r\n', '')
('15:59:30.699585', b'D3-245************************\trssi:-45\r\n', '')
('15:59:30.699585', b'D3-243************************\trssi:-46\r\n', '')
('15:59:30.699585', b'D3-244************************\trssi:-46\r\n', '')
('15:59:30.715229', b's-dur: 61283\r\n', '')
('15:59:30.715229', b'>\r\n', 'sent:50-107*')
('15:59:30.731106', b'b-dur: 39203\r\n', '')
('15:59:30.746459', b'>\r\n', 'sent:50-108*')
('15:59:30.775730', b'b-dur: 29960\r\n', '')
('15:59:30.775730', b'S\r\n', '')
('15:59:30.830601', b'D3-251************************\trssi:-45\r\n', '')
('15:59:30.830601', b'D3-250************************\trssi:-46\r\n', '')
('15:59:30.846365', b'D3-252************************\trssi:-46\r\n', '')
('15:59:30.846365', b's-dur: 61277\r\n', '')
('15:59:30.848392', b'>\r\n', 'sent:50-109*')
('15:59:30.878116', b'b-dur: 40213\r\n', '')
('15:59:30.878389', b'>\r\n', 'sent:50-110*')
('15:59:30.898497', b'b-dur: 29960\r\n', '')
('15:59:30.898497', b'S\r\n', '')
('15:59:30.971206', b'D3-258************************\trssi:-43\r\n', '')
('15:59:30.975129', b'D3-256************************\trssi:-44\r\n', '')
('15:59:30.978219', b'D3-257************************\trssi:-44\r\n', '')
('15:59:30.979194', b's-dur: 61316\r\n', '')
('15:59:30.980118', b'>\r\n', 'sent:50-111*')
('15:59:30.999720', b'b-dur: 40174\r\n', '')
('15:59:30.999720', b'S\r\n', '')
('15:59:31.073217', b'D3-261************************\trssi:-44\r\n', '')
('15:59:31.076213', b'D3-263************************\trssi:-44\r\n', '')
('15:59:31.079205', b'D3-262************************\trssi:-45\r\n', '')
('15:59:31.080201', b's-dur: 61269\r\n', '')
('15:59:31.081199', b'S\r\n', '')
('15:59:31.131134', b'D3-265************************\trssi:-43\r\n', '')
('15:59:31.131134', b'D3-266************************\trssi:-43\r\n', '')
('15:59:31.131134', b'D3-267************************\trssi:-43\r\n', '')
('15:59:31.131134', b's-dur: 61620\r\n', '')
('15:59:31.131134', b'>\r\n', 'sent:50-112*')
('15:59:31.175186', b'b-dur: 41121\r\n', '')
('15:59:31.175186', b'>\r\n', 'sent:50-113*')
('15:59:31.199451', b'b-dur: 29960\r\n', '')
('15:59:31.199451', b'>\r\n', 'sent:50-114*')
('15:59:31.230958', b'b-dur: 29964\r\n', '')
('15:59:31.230958', b'>\r\n', 'sent:50-115*')
('15:59:31.264783', b'b-dur: 29964\r\n', '')
('15:59:31.264783', b'>\r\n', 'sent:50-116*')
('15:59:31.293382', b'b-dur: 28964\r\n', '')
('15:59:31.293382', b'>\r\n', 'sent:50-117*')
('15:59:31.315115', b'b-dur: 30964\r\n', '')
('15:59:31.315115', b'>\r\n', 'sent:50-118*')
('15:59:31.354154', b'b-dur: 29964\r\n', '')
('15:59:31.355154', b'S\r\n', '')
('15:59:31.415228', b'D3-279************************\trssi:-42\r\n', '')
('15:59:31.415228', b'D3-281************************\trssi:-43\r\n', '')
('15:59:31.415228', b'D3-280************************\trssi:-44\r\n', '')
('15:59:31.415228', b's-dur: 61306\r\n', '')
('15:59:31.415228', b'S\r\n', '')
('15:59:31.479436', b'D3-283************************\trssi:-43\r\n', '')
('15:59:31.484144', b'D3-282************************\trssi:-44\r\n', '')
('15:59:31.487141', b'D3-284************************\trssi:-44\r\n', '')
('15:59:31.488139', b's-dur: 61686\r\n', '')
('15:59:31.489134', b'>\r\n', 'sent:50-119*')
('15:59:31.514113', b'b-dur: 40022\r\n', '')
('15:59:31.514113', b'>\r\n', 'sent:50-120*')
('15:59:31.547843', b'b-dur: 28960\r\n', '')
('15:59:31.547843', b'S\r\n', '')
('15:59:31.599267', b'D3-288************************\trssi:-43\r\n', '')
('15:59:31.614889', b'D3-290************************\trssi:-43\r\n', '')
('15:59:31.614889', b'D3-289************************\trssi:-44\r\n', '')
