('17:49:55.896911', '2-394')
('17:49:55.928151', '2-395')
('17:49:56.381166', '2-396')
('17:49:56.412426', '2-397')
('17:49:56.443375', '2-398')
('17:49:56.646465', '2-399')
('17:49:56.865423', '2-400')
('17:49:57.021598', '2-401')
('17:49:57.037113', '2-402')
('17:49:57.318402', '2-403')
('17:49:57.349695', '2-404')
('17:49:57.443217', '2-405')
('17:49:57.521538', '2-406')
('17:49:57.552767', '2-407')
('17:49:57.646521', '2-408')
('17:49:57.677758', '2-409')
('17:49:57.821332', '2-410')
('17:49:58.040029', '2-411')
('17:49:58.071293', '2-412')
('17:49:58.102526', '2-413')
('17:49:58.493055', '2-414')
('17:49:58.946072', '2-415')
('17:49:59.883104', '2-416')
('17:49:59.914611', '2-417')
('17:50:00.070819', '2-418')
('17:50:00.273610', '2-419')
('17:50:00.555075', '2-420')
('17:50:00.711285', '2-421')
('17:50:01.461112', '2-422')
('17:50:01.619969', '2-423')
('17:50:01.713703', '2-424')
('17:50:01.869913', '2-425')
('17:50:01.885548', '2-426')
('17:50:02.104240', '2-427')
('17:50:02.807200', '2-428')
('17:50:03.260219', '2-429')
('17:50:03.353861', '2-430')
('17:50:03.369582', '2-431')
('17:50:03.463161', '2-432')
('17:50:03.728859', '2-433')
('17:50:03.947297', '2-434')
('17:50:04.165977', '2-435')
('17:50:04.259729', '2-436')
('17:50:04.338087', '2-437')
('17:50:04.509902', '2-438')
('17:50:04.540892', '2-439')
('17:50:04.681511', '2-440')
('17:50:04.775258', '2-441')
('17:50:04.806751', '2-442')
('17:50:05.025445', '2-443')
('17:50:05.181514', '2-444')
('17:50:05.322239', '2-445')
('17:50:05.774981', '2-446')
('17:50:05.993957', '2-447')
('17:50:06.087708', '2-448')
('17:50:06.181371', '2-449')
('17:50:06.275139', '2-450')
('17:50:06.353183', '2-451')
('17:50:06.509434', '2-452')
('17:50:06.665400', '2-453')
('17:50:07.118656', '2-454')
('17:50:07.149769', '2-455')
('17:50:07.306152', '2-456')
('17:50:07.698311', '2-457')
('17:50:07.963876', '2-458')
('17:50:08.057883', '2-459')
('17:50:08.151609', '2-460')
('17:50:08.370313', '2-461')
('17:50:08.651217', '2-462')
('17:50:08.807430', '2-463')
('17:50:08.885656', '2-464')
('17:50:08.979264', '2-465')
('17:50:09.010802', '2-466')
('17:50:09.042011', '2-467')
('17:50:09.561875', '2-468')
('17:50:09.718090', '2-469')
('17:50:09.749283', '2-470')
('17:50:09.905493', '2-471')
('17:50:09.936788', '2-472')
('17:50:10.014617', '2-473')
('17:50:10.296081', '2-474')
('17:50:10.389784', '2-475')
('17:50:10.420775', '2-476')
('17:50:10.452300', '2-477')
('17:50:10.546299', '2-478')
('17:50:10.931843', '2-479')
('17:50:10.963364', '2-480')
('17:50:10.994622', '2-481')
('17:50:11.025861', '2-482')
('17:50:11.041488', '2-483')
('17:50:11.072729', '2-484')
('17:50:11.103957', '2-485')
('17:50:11.213027', '2-486')
('17:50:11.713188', '2-487')
('17:50:11.744433', '2-488')
('17:50:11.775694', '2-489')
('17:50:11.994387', '2-490')
('17:50:12.337766', '2-491')
('17:50:12.353674', '2-492')
('17:50:13.121987', '2-493')
('17:50:13.153224', '2-494')
('17:50:13.246956', '2-495')
('17:50:13.465499', '2-496')
('17:50:13.548333', '2-497')
('17:50:13.642344', '2-498')
('17:50:13.673601', '2-499')
('17:50:13.954782', '2-500')
('17:50:14.720218', '2-501')
('17:50:14.938869', '2-502')
('17:50:14.970156', '2-503')
('17:50:15.110769', '2-504')
('17:50:15.204495', '2-505')
('17:50:15.235721', '2-506')
('17:50:15.329464', '2-507')
('17:50:15.407576', '2-508')
('17:50:15.501283', '2-509')
('17:50:15.891542', '2-510')
('17:50:15.985567', '2-511')
('17:50:16.016803', '2-512')
('17:50:16.282330', '2-513')
('17:50:16.438582', '2-514')
('17:50:16.469816', '2-515')
('17:50:16.563264', '2-516')
('17:50:16.641396', '2-517')
('17:50:16.672631', '2-518')
('17:50:16.829102', '2-519')
('17:50:16.922575', '2-520')
('17:50:17.313087', '2-521')
('17:50:17.344333', '2-522')
('17:50:17.547429', '2-523')
('17:50:18.016055', '2-524')
('17:50:18.281613', '2-525')
('17:50:18.437827', '2-526')
('17:50:18.469069', '2-527')
('17:50:18.562798', '2-528')
('17:50:18.594041', '2-529')
('17:50:18.750283', '2-530')
('17:50:18.781498', '2-531')
('17:50:18.859633', '2-532')
('17:50:18.890847', '2-533')
('17:50:19.281381', '2-534')
('17:50:20.049679', '2-535')
('17:50:20.080792', '2-536')
('17:50:20.221561', '2-537')
('17:50:20.315024', '2-538')
('17:50:20.346288', '2-539')
('17:50:20.377776', '2-540')
('17:50:20.409010', '2-541')
('17:50:20.610032', '2-542')
('17:50:20.641272', '2-543')
('17:50:20.672259', '2-544')
('17:50:20.828716', '2-545')
('17:50:20.984707', '2-546')
('17:50:21.078668', '2-547')
('17:50:21.094296', '2-548')
('17:50:21.250512', '2-549')
('17:50:21.344137', '2-550')
('17:50:21.375461', '2-551')
('17:50:21.781626', '2-552')
('17:50:21.937614', '2-553')
('17:50:22.265845', '2-554')
('17:50:22.484516', '2-555')
('17:50:22.876779', '2-556')
('17:50:22.907778', '2-557')
('17:50:22.986162', '2-558')
('17:50:23.017421', '2-559')
('17:50:23.470440', '2-560')
('17:50:23.564112', '2-561')
('17:50:23.720112', '2-562')
('17:50:23.735990', '2-563')
('17:50:23.829451', '2-564')
