('10:49:16.078998', b'>\r\n', 'sent:2-208*')
('10:49:16.100989', b'>\r\n', 'sent:2-209*')
('10:49:16.187959', b'D1-183************************\trssi:-11\r\n', '')
('10:49:16.245001', b'>\r\n', 'sent:2-210*')
('10:49:16.328016', b'>\r\n', 'sent:2-211*')
('10:49:16.349921', b'>\r\n', 'sent:2-212*')
('10:49:16.368010', b'>\r\n', 'sent:2-213*')
('10:49:16.391983', b'>\r\n', 'sent:2-214*')
('10:49:16.478932', b'D1-185************************\trssi:-10\r\n', '')
('10:49:16.481958', b'D1-186************************\trssi:-10\r\n', '')
('10:49:16.537142', b'>\r\n', 'sent:2-215*')
('10:49:16.558283', b'>\r\n', 'sent:2-216*')
('10:49:16.644953', b'D1-190************************\trssi:-10\r\n', '')
('10:49:16.702959', b'>\r\n', 'sent:2-217*')
('10:49:16.785941', b'>\r\n', 'sent:2-218*')
('10:49:16.809013', b'>\r\n', 'sent:2-219*')
('10:49:16.956900', b'D1-193************************\trssi:-10\r\n', '')
('10:49:16.957004', b'>\r\n', 'sent:2-220*')
('10:49:17.040035', b'>\r\n', 'sent:2-221*')
('10:49:17.126920', b'D1-195************************\trssi:-10\r\n', '')
('10:49:17.187963', b'D1-196************************\trssi:-10\r\n', '')
('10:49:17.190981', b'D1-197************************\trssi:-11\r\n', '')
('10:49:17.249092', b'D1-198************************\trssi:-10\r\n', '')
('10:49:17.306941', b'>\r\n', 'sent:2-222*')
('10:49:17.328988', b'>\r\n', 'sent:2-223*')
('10:49:17.350981', b'>\r\n', 'sent:2-224*')
('10:49:17.494997', b'>\r\n', 'sent:2-225*')
('10:49:17.642912', b'D1-201************************\trssi:-11\r\n', '')
('10:49:17.643021', b'>\r\n', 'sent:2-226*')
('10:49:17.790928', b'D1-202************************\trssi:-10\r\n', '')
('10:49:17.851942', b'D1-203************************\trssi:-10\r\n', '')
('10:49:17.852046', b'>\r\n', 'sent:2-227*')
('10:49:17.938930', b'D1-204************************\trssi:-11\r\n', '')
('10:49:18.118131', b'>\r\n', 'sent:2-228*')
('10:49:18.261994', b'>\r\n', 'sent:2-229*')
('10:49:18.283982', b'>\r\n', 'sent:2-230*')
('10:49:18.305943', b'>\r\n', 'sent:2-231*')
('10:49:18.393926', b'D1-207************************\trssi:-10\r\n', '')
('10:49:18.396972', b'D1-208************************\trssi:-10\r\n', '')
('10:49:18.400945', b'D1-206************************\trssi:-11\r\n', '')
('10:49:18.512014', b'>\r\n', 'sent:2-232*')
('10:49:18.533966', b'>\r\n', 'sent:2-233*')
('10:49:18.620940', b'D1-209************************\trssi:-10\r\n', '')
('10:49:18.621042', b'>\r\n', 'sent:2-234*')
('10:49:18.643074', b'>\r\n', 'sent:2-235*')
('10:49:18.664924', b'>\r\n', 'sent:2-236*')
('10:49:18.686949', b'>\r\n', 'sent:2-237*')
('10:49:18.773953', b'D1-210************************\trssi:-10\r\n', '')
('10:49:18.956095', b'D1-211************************\trssi:-11\r\n', '')
('10:49:19.017905', b'D1-212************************\trssi:-12\r\n', '')
('10:49:19.018015', b'>\r\n', 'sent:2-238*')
('10:49:19.100990', b'>\r\n', 'sent:2-239*')
('10:49:19.122938', b'>\r\n', 'sent:2-240*')
('10:49:19.144981', b'>\r\n', 'sent:2-241*')
('10:49:19.167086', b'>\r\n', 'sent:2-242*')
('10:49:19.188947', b'>\r\n', 'sent:2-243*')
('10:49:19.211073', b'>\r\n', 'sent:2-244*')
('10:49:19.359952', b'D1-213************************\trssi:-10\r\n', '')
