('10:49:11.844035', b'>\r\n', 'sent:1-142*')
('10:49:11.926990', b'>\r\n', 'sent:1-143*')
('10:49:11.949036', b'>\r\n', 'sent:1-144*')
('10:49:12.036001', b'D2-170************************\trssi:-23\r\n', '')
('10:49:12.039006', b'D2-171************************\trssi:-23\r\n', '')
('10:49:12.096988', b'D2-172************************\trssi:-22\r\n', '')
('10:49:12.219101', b'D2-173************************\trssi:-23\r\n', '')
('10:49:12.222002', b'D2-174************************\trssi:-23\r\n', '')
('10:49:12.226095', b'D2-175************************\trssi:-23\r\n', '')
('10:49:12.340994', b'D2-176************************\trssi:-22\r\n', '')
('10:49:12.401996', b'D2-177************************\trssi:-23\r\n', '')
('10:49:12.460021', b'>\r\n', 'sent:1-145*')
('10:49:12.482002', b'>\r\n', 'sent:1-146*')
('10:49:12.629947', b'D2-178************************\trssi:-24\r\n', '')
('10:49:12.630057', b'>\r\n', 'sent:1-147*')
('10:49:12.716978', b'D2-179************************\trssi:-22\r\n', '')
('10:49:12.717080', b'>\r\n', 'sent:1-148*')
('10:49:12.739078', b'>\r\n', 'sent:1-149*')
('10:49:12.826083', b'D2-180************************\trssi:-22\r\n', '')
('10:49:12.947967', b'D2-181************************\trssi:-23\r\n', '')
('10:49:12.948072', b'>\r\n', 'sent:1-150*')
('10:49:13.156024', b'D2-182************************\trssi:-23\r\n', '')
('10:49:13.159970', b'D2-183************************\trssi:-23\r\n', '')
('10:49:13.278151', b'D2-184************************\trssi:-23\r\n', '')
('10:49:13.336020', b'>\r\n', 'sent:1-151*')
('10:49:13.480018', b'>\r\n', 'sent:1-152*')
('10:49:13.567097', b'D2-187************************\trssi:-23\r\n', '')
('10:49:13.628011', b'D2-188************************\trssi:-23\r\n', '')
('10:49:13.749944', b'D2-189************************\trssi:-23\r\n', '')
('10:49:13.750045', b'>\r\n', 'sent:1-153*')
('10:49:13.833961', b'D2-191************************\trssi:-23\r\n', '')
('10:49:13.894977', b'D2-192************************\trssi:-23\r\n', '')
('10:49:14.013020', b'>\r\n', 'sent:1-154*')
('10:49:14.035018', b'>\r\n', 'sent:1-155*')
('10:49:14.056972', b'>\r\n', 'sent:1-156*')
('10:49:14.078960', b'>\r\n', 'sent:1-157*')
('10:49:14.101153', b'>\r\n', 'sent:1-158*')
('10:49:14.184012', b'>\r\n', 'sent:1-159*')
('10:49:14.270917', b'D2-193************************\trssi:-22\r\n', '')
('10:49:14.328026', b'>\r\n', 'sent:1-160*')
('10:49:14.349994', b'>\r\n', 'sent:1-161*')
('10:49:14.436961', b'D2-194************************\trssi:-24\r\n', '')
('10:49:14.437064', b'>\r\n', 'sent:1-162*')
('10:49:14.523987', b'D2-195************************\trssi:-23\r\n', '')
('10:49:14.524091', b'>\r\n', 'sent:1-163*')
('10:49:14.546015', b'>\r\n', 'sent:1-164*')
('10:49:14.568012', b'>\r\n', 'sent:1-165*')
('10:49:14.590043', b'>\r\n', 'sent:1-166*')
('10:49:14.612034', b'>\r\n', 'sent:1-167*')
('10:49:14.634153', b'>\r\n', 'sent:1-168*')
('10:49:14.717006', b'>\r\n', 'sent:1-169*')
('10:49:14.738972', b'>\r\n', 'sent:1-170*')
('10:49:14.886931', b'D2-199************************\trssi:-20\r\n', '')
('10:49:14.944010', b'>\r\n', 'sent:1-171*')
('10:49:14.966008', b'>\r\n', 'sent:1-172*')
('10:49:14.987929', b'>\r\n', 'sent:1-173*')
('10:49:15.009984', b'>\r\n', 'sent:1-174*')
('10:49:15.157929', b'D2-200************************\trssi:-21\r\n', '')
('10:49:15.158040', b'>\r\n', 'sent:1-175*')
('10:49:15.241007', b'>\r\n', 'sent:1-176*')
('10:49:15.262990', b'>\r\n', 'sent:1-177*')
('10:49:15.286003', b'>\r\n', 'sent:1-178*')
('10:49:15.615990', b'D2-202************************\trssi:-21\r\n', '')
('10:49:15.676979', b'D2-203************************\trssi:-22\r\n', '')
('10:49:15.677052', b'>\r\n', 'sent:1-179*')
('10:49:15.763891', b'D2-204************************\trssi:-22\r\n', '')
('10:49:15.824939', b'D2-205************************\trssi:-21\r\n', '')
('10:49:15.828068', b'D2-206************************\trssi:-22\r\n', '')
('10:49:15.943005', b'>\r\n', 'sent:1-180*')
('10:49:15.964980', b'>\r\n', 'sent:1-181*')
('10:49:15.987086', b'>\r\n', 'sent:1-182*')
('10:49:16.134908', b'D2-208************************\trssi:-22\r\n', '')
('10:49:16.137949', b'D2-209************************\trssi:-22\r\n', '')
('10:49:16.138043', b'>\r\n', 'sent:1-183*')
('10:49:16.286978', b'D2-210************************\trssi:-21\r\n', '')
('10:49:16.347993', b'D2-211************************\trssi:-22\r\n', '')
('10:49:16.348066', b'>\r\n', 'sent:1-184*')
('10:49:16.431968', b'D2-214************************\trssi:-22\r\n', '')
('10:49:16.432072', b'>\r\n', 'sent:1-185*')
('10:49:16.453955', b'>\r\n', 'sent:1-186*')
('10:49:16.537239', b'>\r\n', 'sent:1-187*')
('10:49:16.558228', b'>\r\n', 'sent:1-188*')
('10:49:16.579971', b'>\r\n', 'sent:1-189*')
('10:49:16.604992', b'>\r\n', 'sent:1-190*')
('10:49:16.626962', b'>\r\n', 'sent:1-191*')
('10:49:16.774924', b'D2-217************************\trssi:-21\r\n', '')
('10:49:16.775034', b'>\r\n', 'sent:1-192*')
('10:49:16.862944', b'D2-219************************\trssi:-22\r\n', '')
('10:49:16.920001', b'>\r\n', 'sent:1-193*')
('10:49:16.941957', b'>\r\n', 'sent:1-194*')
('10:49:17.028956', b'D2-220************************\trssi:-20\r\n', '')
('10:49:17.089962', b'D2-221************************\trssi:-20\r\n', '')
('10:49:17.090066', b'>\r\n', 'sent:1-195*')
('10:49:17.111987', b'>\r\n', 'sent:1-196*')
('10:49:17.133937', b'>\r\n', 'sent:1-197*')
('10:49:17.216982', b'>\r\n', 'sent:1-198*')
('10:49:17.299981', b'>\r\n', 'sent:1-199*')
('10:49:17.384936', b'D2-224************************\trssi:-20\r\n', '')
('10:49:17.388135', b'D2-223************************\trssi:-21\r\n', '')
('10:49:17.502952', b'>\r\n', 'sent:1-200*')
