('249.01899672800005', ('192.168.4.9', 8000), b'message: 6\r\n')
('249.11954683299996', ('192.168.4.4', 8000), b'message: 122\r\n')
('249.28076818699992', ('192.168.4.9', 8000), b'message: 7\r\n')
('249.54622558200003', ('192.168.4.9', 8000), b'message: 8\r\n')
('250.25900282199996', ('192.168.4.4', 8000), b'message: 123\r\n')
('250.536021936', ('192.168.4.9', 8000), b'message: 9\r\n')
('251.11647308200008', ('192.168.4.9', 8000), b'message: 10\r\n')
('252.32176474800008', ('192.168.4.4', 8000), b'message: 124\r\n')
('253.44878058099994', ('192.168.4.9', 8000), b'message: 11\r\n')
('253.95523761200002', ('192.168.4.9', 8000), b'message: 12\r\n')
('254.8704525590001', ('192.168.4.4', 8000), b'message: 125\r\n')
('255.0055096430001', ('192.168.4.9', 8000), b'message: 13\r\n')
('259.0105866199999', ('192.168.4.9', 8000), b'message: 14\r\n')
('260.0072329740001', ('192.168.4.4', 8000), b'message: 126\r\n')
('260.8004168279999', ('192.168.4.9', 8000), b'message: 15\r\n')
('262.4051261500001', ('192.168.4.4', 8000), b'message: 127\r\n')
('262.8604271920001', ('192.168.4.4', 8000), b'message: 128\r\n')
('262.98939109799994', ('192.168.4.9', 8000), b'message: 16\r\n')
('265.849237399', ('192.168.4.4', 8000), b'message: 129\r\n')
('266.6320654200001', ('192.168.4.4', 8000), b'message: 130\r\n')
('269.06612468899993', ('192.168.4.9', 8000), b'message: 18\r\n')
('270.22116463700013', ('192.168.4.4', 8000), b'message: 131\r\n')
('271.65644666799994', ('192.168.4.4', 8000), b'message: 132\r\n')
('272.1102652090001', ('192.168.4.4', 8000), b'message: 133\r\n')
('273.05059843799995', ('192.168.4.9', 8000), b'message: 19\r\n')
('275.01741843700006', ('192.168.4.20', 8000), b'message: 0\r\n')
('275.839745989', ('192.168.4.9', 8000), b'message: 20\r\n')
('275.9402443220001', ('192.168.4.4', 8000), b'message: 134\r\n')
('277.574415415', ('192.168.4.4', 8000), b'message: 135\r\n')
('278.0973290090001', ('192.168.4.4', 8000), b'message: 136\r\n')
('278.6300398420001', ('192.168.4.20', 8000), b'message: 1\r\n')
('279.267854165', ('192.168.4.4', 8000), b'message: 137\r\n')
('280.139748175', ('192.168.4.20', 8000), b'message: 2\r\n')
('281.93399510099994', ('192.168.4.4', 8000), b'message: 138\r\n')
('283.5155534339999', ('192.168.4.20', 8000), b'message: 3\r\n')
('284.12071541299997', ('192.168.4.20', 8000), b'message: 4\r\n')
