('15:27:28.150903', b'>\r\n', 'sent:1-136*')
('15:27:28.182032', b'dur: 28963\r\n', '')
('15:27:28.182032', b'>\r\n', 'sent:1-137*')
('15:27:28.197484', b'dur: 20969\r\n', '')
('15:27:28.197484', b'>\r\n', 'sent:1-138*')
('15:27:28.213398', b'dur: 21969\r\n', '')
('15:27:28.213398', b'>\r\n', 'sent:1-139*')
('15:27:28.244624', b'dur: 21969\r\n', '')
('15:27:28.244624', b'>\r\n', 'sent:1-140*')
('15:27:28.259970', b'dur: 21969\r\n', '')
('15:27:28.259970', b'>\r\n', 'sent:1-141*')
('15:27:28.291213', b'dur: 21969\r\n', '')
('15:27:28.291213', b'>\r\n', 'sent:1-142*')
('15:27:28.307111', b'dur: 21969\r\n', '')
('15:27:28.307111', b'>\r\n', 'sent:1-143*')
('15:27:28.322735', b'dur: 21969\r\n', '')
('15:27:28.322735', b'>\r\n', 'sent:1-144*')
('15:27:28.353699', b'dur: 20969\r\n', '')
('15:27:28.353699', b'>\r\n', 'sent:1-145*')
('15:27:28.369615', b'dur: 21969\r\n', '')
('15:27:28.369615', b'>\r\n', 'sent:1-146*')
('15:27:28.385236', b'dur: 21969\r\n', '')
('15:27:28.400564', b'>\r\n', 'sent:1-147*')
('15:27:28.416369', b'dur: 20969\r\n', '')
('15:27:28.416369', b'>\r\n', 'sent:1-148*')
('15:27:28.432100', b'dur: 21969\r\n', '')
('15:27:28.432100', b'>\r\n', 'sent:1-149*')
('15:27:28.463273', b'dur: 21969\r\n', '')
('15:27:28.463273', b'>\r\n', 'sent:1-150*')
('15:27:28.478854', b'dur: 21969\r\n', '')
('15:27:28.478854', b'>\r\n', 'sent:1-151*')
('15:27:28.494567', b'dur: 20969\r\n', '')
('15:27:28.494567', b'>\r\n', 'sent:1-152*')
('15:27:28.525535', b'dur: 20969\r\n', '')
('15:27:28.525535', b'>\r\n', 'sent:1-153*')
('15:27:28.541178', b'dur: 21969\r\n', '')
('15:27:28.541178', b'>\r\n', 'sent:1-154*')
('15:27:28.572600', b'dur: 21969\r\n', '')
('15:27:28.572600', b'>\r\n', 'sent:1-155*')
('15:27:28.588291', b'dur: 21969\r\n', '')
('15:27:28.588291', b'>\r\n', 'sent:1-156*')
('15:27:28.603921', b'dur: 21969\r\n', '')
('15:27:28.603921', b'>\r\n', 'sent:1-157*')
('15:27:28.635132', b'dur: 21969\r\n', '')
('15:27:28.635132', b'>\r\n', 'sent:1-158*')
('15:27:28.650786', b'dur: 21969\r\n', '')
('15:27:28.650786', b'>\r\n', 'sent:1-159*')
('15:27:28.682506', b'dur: 21969\r\n', '')
('15:27:28.683688', b'>\r\n', 'sent:1-160*')
('15:27:28.702838', b'dur: 20969\r\n', '')
('15:27:28.702838', b'>\r\n', 'sent:1-161*')
('15:27:28.718410', b'dur: 21969\r\n', '')
('15:27:28.718410', b'>\r\n', 'sent:1-162*')
('15:27:28.734072', b'dur: 21969\r\n', '')
('15:27:28.734072', b'>\r\n', 'sent:1-163*')
('15:27:28.765337', b'dur: 21969\r\n', '')
('15:27:28.765337', b'>\r\n', 'sent:1-164*')
('15:27:28.780860', b'dur: 21969\r\n', '')
('15:27:28.780860', b'>\r\n', 'sent:1-165*')
('15:27:28.812206', b'dur: 21969\r\n', '')
('15:27:28.812206', b'>\r\n', 'sent:1-166*')
('15:27:28.827793', b'dur: 20969\r\n', '')
('15:27:28.827793', b'>\r\n', 'sent:1-167*')
('15:27:28.843371', b'dur: 21969\r\n', '')
('15:27:28.843371', b'>\r\n', 'sent:1-168*')
('15:27:28.874663', b'dur: 24969\r\n', '')
('15:27:28.874663', b'>\r\n', 'sent:1-169*')
('15:27:28.890314', b'dur: 22969\r\n', '')
('15:27:28.905824', b'>\r\n', 'sent:1-170*')
('15:27:28.921558', b'dur: 19969\r\n', '')
('15:27:28.921558', b'>\r\n', 'sent:1-171*')
('15:27:28.937177', b'dur: 22969\r\n', '')
('15:27:28.937177', b'>\r\n', 'sent:1-172*')
('15:27:28.952784', b'dur: 17969\r\n', '')
('15:27:28.952784', b'>\r\n', 'sent:1-173*')
('15:27:28.984014', b'dur: 22969\r\n', '')
('15:27:28.984014', b'>\r\n', 'sent:1-174*')
('15:27:28.999639', b'dur: 21969\r\n', '')
('15:27:28.999639', b'>\r\n', 'sent:1-175*')
('15:27:29.030879', b'dur: 26969\r\n', '')
('15:27:29.030879', b'>\r\n', 'sent:1-176*')
('15:27:29.046530', b'dur: 21969\r\n', '')
('15:27:29.046530', b'>\r\n', 'sent:1-177*')
('15:27:29.077720', b'dur: 21969\r\n', '')
