('21:55:57.824985', b'>\r\n', 'sent:1-21:55:57.682303*')
('21:55:58.034077', b'D2-16:57:19.686287************\trssi:-40\r\n', '')
('21:55:58.034655', b'>\r\n', 'sent:1-21:55:58.034153*')
('21:55:58.055306', b'>\r\n', 'sent:1-21:55:58.034714*')
('21:55:58.076664', b'>\r\n', 'sent:1-21:55:58.055378*')
('21:55:58.096772', b'>\r\n', 'sent:1-21:55:58.076731*')
('21:55:58.366012', b'D2-16:57:20.030048************\trssi:-40\r\n', '')
('21:55:58.548636', b'D2-16:57:20.061291************\trssi:-40\r\n', '')
('21:55:58.671154', b'D2-16:57:20.201884************\trssi:-39\r\n', '')
('21:55:58.671713', b'>\r\n', 'sent:1-21:55:58.671224*')
('21:55:58.693672', b'>\r\n', 'sent:1-21:55:58.671776*')
('21:55:58.836490', b'>\r\n', 'sent:1-21:55:58.693740*')
('21:55:58.856558', b'>\r\n', 'sent:1-21:55:58.836580*')
('21:55:58.877951', b'>\r\n', 'sent:1-21:55:58.856636*')
('21:55:58.960695', b'>\r\n', 'sent:1-21:55:58.878032*')
('21:55:59.042199', b'>\r\n', 'sent:1-21:55:58.960778*')
('21:55:59.188933', b'D2-16:57:20.787657************\trssi:-40\r\n', '')
('21:55:59.250129', b'D2-16:57:20.856667************\trssi:-39\r\n', '')
('21:55:59.250685', b'>\r\n', 'sent:1-21:55:59.250193*')
('21:55:59.580479', b'D2-16:57:20.925599************\trssi:-39\r\n', '')
('21:55:59.636684', b'>\r\n', 'sent:1-21:55:59.580560*')
('21:55:59.719428', b'>\r\n', 'sent:1-21:55:59.636754*')
('21:56:00.414863', b'D2-16:57:21.458416************\trssi:-38\r\n', '')
('21:56:00.415439', b'>\r\n', 'sent:1-21:56:00.414949*')
('21:56:00.801446', b'>\r\n', 'sent:1-21:56:00.415502*')
('21:56:01.126610', b'>\r\n', 'sent:1-21:56:00.801539*')
('21:56:01.395747', b'D2-16:57:22.862315************\trssi:-38\r\n', '')
('21:56:01.455809', b'D2-16:57:23.047264************\trssi:-40\r\n', '')
('21:56:01.517279', b'D2-16:57:23.131580************\trssi:-39\r\n', '')
('21:56:01.634713', b'>\r\n', 'sent:1-21:56:01.517352*')
('21:56:01.776184', b'>\r\n', 'sent:1-21:56:01.634797*')
('21:56:01.857719', b'>\r\n', 'sent:1-21:56:01.776260*')
('21:56:01.940448', b'>\r\n', 'sent:1-21:56:01.857802*')
('21:56:02.083200', b'>\r\n', 'sent:1-21:56:01.940528*')
('21:56:02.229898', b'D2-16:57:23.811866************\trssi:-39\r\n', '')
('21:56:02.408649', b'>\r\n', 'sent:1-21:56:02.229967*')
('21:56:02.496599', b'D2-16:57:24.150110************\trssi:-39\r\n', '')
('21:56:02.499837', b'D2-16:57:24.150110************\trssi:-40\r\n', '')
('21:56:02.500391', b'>\r\n', 'sent:1-21:56:02.499899*')
('21:56:02.641847', b'>\r\n', 'sent:1-21:56:02.500455*')
('21:56:02.723330', b'>\r\n', 'sent:1-21:56:02.641929*')
('21:56:02.927508', b'>\r\n', 'sent:1-21:56:02.723403*')
('21:56:03.257799', b'D2-16:57:24.666189************\trssi:-39\r\n', '')
('21:56:03.313945', b'>\r\n', 'sent:1-21:56:03.257875*')
('21:56:03.456706', b'>\r\n', 'sent:1-21:56:03.314025*')
('21:56:03.599480', b'>\r\n', 'sent:1-21:56:03.456795*')
('21:56:03.689991', b'D2-16:57:25.234801************\trssi:-38\r\n', '')
('21:56:03.693173', b'D2-16:57:25.350725************\trssi:-38\r\n', '')
('21:56:03.693720', b'>\r\n', 'sent:1-21:56:03.693235*')
('21:56:03.717498', b'>\r\n', 'sent:1-21:56:03.693783*')
('21:56:03.737552', b'>\r\n', 'sent:1-21:56:03.717576*')
