(14:45:49.41339400, '1-2314***********')
(14:45:49.47777000, '1-2315***********')
(14:45:49.80563100, '1-2317***********')
(14:45:50.14956200, '1-2322***********')
(14:45:50.36825300, '1-2325***********')
(14:45:51.13355600, '1-2332***********')
(14:45:51.77381600, '1-2339***********')
(14:45:52.42692600, '1-2349***********')
(14:45:53.52158300, '1-2359***********')
(14:45:53.88086000, '1-2362***********')
(14:45:53.94307500, '1-2364***********')
(14:45:54.13083200, '1-2370***********')
(14:45:54.41199700, '1-2372***********')
(14:45:54.41199700, '1-2373***********')
(14:45:54.47447700, '1-2375***********')
(14:45:55.56769200, '1-2390***********')
(14:45:55.56769200, '1-2389***********')
(14:45:55.94260400, '1-2392***********')
(14:45:56.22408000, '1-2398***********')
(14:45:56.22408000, '1-2399***********')
(14:45:56.33341300, '1-2401***********')
(14:45:56.34878500, '1-2402***********')
(14:45:57.94386300, '1-2420***********')
(14:45:58.00634800, '1-2421***********')
(14:45:58.89705800, '1-2429***********')
(14:46:0.31850500, '1-2449***********')
(14:46:0.92781400, '1-2452***********')
(14:46:1.11526800, '1-2454***********')
(14:46:1.33396600, '1-2458***********')
(14:46:1.33396600, '1-2457***********')
(14:46:1.75850400, '1-2466***********')
(14:46:2.10234000, '1-2472***********')
(14:46:2.10234000, '1-2473***********')
(14:46:2.68015700, '1-2481***********')
(14:46:3.89887200, '1-2500***********')
(14:46:4.38310600, '1-2508***********')
(14:46:5.57035600, '1-2524***********')
(14:46:5.91404300, '1-2531***********')
(14:46:5.97649800, '1-2533***********')
(14:46:7.58711200, '1-2548***********')
(14:46:7.85268000, '1-2554***********')
(14:46:8.00900500, '1-2559***********')
(14:46:8.49336200, '1-2568***********')
(14:46:8.68090200, '1-2573***********')
(14:46:9.22764700, '1-2583***********')
(14:46:9.47946800, '1-2586***********')
(14:46:11.15085700, '1-2604***********')
(14:46:11.43421500, '1-2610***********')
(14:46:11.96531800, '1-2616***********')
(14:46:11.96531800, '1-2617***********')
(14:46:12.19991800, '1-2620***********')
(14:46:12.98721800, '1-2631***********')
(14:46:14.03386600, '1-2639***********')
(14:46:14.15882000, '1-2641***********')
(14:46:14.50223500, '1-2651***********')
(14:46:14.62744400, '1-2652***********')
(14:46:14.68967500, '1-2654***********')
(14:46:14.84588400, '1-2657***********')
(14:46:15.25230700, '1-2663***********')
(14:46:15.83001800, '1-2665***********')
(14:46:15.89250300, '1-2668***********')
(14:46:15.98623100, '1-2671***********')
(14:46:16.17368700, '1-2675***********')
(14:46:16.52020300, '1-2681***********')
(14:46:16.58268000, '1-2683***********')
(14:46:17.00438800, '1-2689***********')
(14:46:17.00438800, '1-2690***********')
(14:46:17.09815300, '1-2692***********')
(14:46:17.19190400, '1-2694***********')
(14:46:17.69181400, '1-2701***********')
(14:46:17.69181400, '1-2702***********')
(14:46:18.17578600, '1-2708***********')
(14:46:18.30100400, '1-2712***********')
(14:46:19.41014900, '1-2725***********')
(14:46:19.94126900, '1-2731***********')
(14:46:20.08160900, '1-2734***********')
(14:46:20.08160900, '1-2735***********')
(14:46:21.00352800, '1-2746***********')
(14:46:21.05038700, '1-2747***********')
(14:46:21.14412100, '1-2749***********')
(14:46:21.81720500, '1-2763***********')
(14:46:23.14501300, '1-2776***********')
(14:46:23.23876300, '1-2778***********')
(14:46:23.30150400, '1-2780***********')
(14:46:24.31690800, '1-2790***********')
(14:46:24.50424800, '1-2794***********')
(14:46:25.47472400, '1-2804***********')
(14:46:25.47472400, '1-2805***********')
(14:46:26.41200000, '1-2820***********')
(14:46:26.63069900, '1-2822***********')
(14:46:27.31802400, '1-2830***********')
