(14:13:22.25426300, '2-5208***********')
(14:13:23.44148900, '2-5216***********')
(14:13:23.50399000, '2-5217***********')
(14:13:26.00544400, '2-5253***********')
(14:13:26.00544400, '2-5254***********')
(14:13:26.28663400, '2-5255***********')
(14:13:26.28663400, '2-5256***********')
(14:13:30.91228300, '2-5293***********')
(14:13:31.91207800, '2-5300***********')
(14:13:32.42756900, '2-5302***********')
(14:13:32.42756900, '2-5303***********')
(14:13:32.49005800, '2-5304***********')
(14:13:32.85105400, '2-5307***********')
(14:13:33.74146100, '2-5311***********')
(14:13:33.74146100, '2-5312***********')
(14:13:38.07071200, '2-5333***********')
(14:13:38.63310200, '2-5337***********')
(14:13:42.47767900, '2-5362***********')
(14:13:42.54040900, '2-5363***********')
(14:13:43.97744000, '2-5371***********')
(14:13:45.07106900, '2-5379***********')
(14:13:48.66570100, '2-5404***********')
(14:13:48.66570100, '2-5405***********')
(14:13:48.93134300, '2-5407***********')
(14:13:49.08756500, '2-5411***********')
(14:13:49.08756500, '2-5412***********')
(14:13:49.15007200, '2-5413***********')
(14:13:50.02486300, '2-5419***********')
(14:13:51.01011300, '2-5428***********')
(14:13:51.43218400, '2-5432***********')
(14:13:51.43218400, '2-5433***********')
(14:13:53.58791900, '2-5443***********')
(14:13:55.05838000, '2-5456***********')
(14:13:55.18333700, '2-5459***********')
(14:13:58.68253700, '2-5497***********')
(14:14:1.12110200, '2-5517***********')
(14:14:3.07378600, '2-5537***********')
(14:14:3.65174300, '2-5544***********')
(14:14:10.51435200, '2-5581***********')
(14:14:10.51435200, '2-5582***********')
(14:14:13.89048600, '2-5614***********')
(14:14:16.40554600, '2-5636***********')
(14:14:17.57694300, '2-5647***********')
(14:14:17.84491000, '2-5651***********')
(14:14:19.09517400, '2-5664***********')
(14:14:19.48571000, '2-5670***********')
(14:14:19.48571000, '2-5671***********')
(14:14:19.57944500, '2-5673***********')
(14:14:19.57944500, '2-5674***********')
(14:14:20.96900300, '2-5685***********')
(14:14:25.89122600, '2-5713***********')
(14:14:25.89122600, '2-5714***********')
(14:14:25.95372800, '2-5715***********')
(14:14:26.34399200, '2-5719***********')
(14:14:27.75478600, '2-5729***********')
(14:14:28.58280400, '2-5739***********')
(14:14:28.58280400, '2-5740***********')
(14:14:29.09832200, '2-5744***********')
(14:14:29.11367300, '2-5745***********')
(14:14:34.00537700, '2-5772***********')
(14:14:34.00537700, '2-5773***********')
(14:14:34.48965000, '2-5780***********')
(14:14:35.13011500, '2-5787***********')
(14:14:36.67846500, '2-5797***********')
(14:14:38.49083000, '2-5811***********')
(14:14:38.49083000, '2-5812***********')
(14:14:39.02195800, '2-5818***********')
(14:14:39.39686400, '2-5822***********')
(14:14:39.49061600, '2-5824***********')
(14:14:41.13085300, '2-5846***********')
(14:14:42.02314600, '2-5856***********')
(14:14:43.24161000, '2-5863***********')
(14:14:43.33507200, '2-5865***********')
(14:14:43.33507200, '2-5866***********')
(14:14:43.77447200, '2-5869***********')
(14:14:44.39930300, '2-5873***********')
(14:14:44.61773200, '2-5878***********')
(14:14:47.44521100, '2-5899***********')
(14:14:47.50788100, '2-5901***********')
(14:14:50.82143100, '2-5917***********')
(14:14:53.04243000, '2-5935***********')
(14:14:53.10494500, '2-5937***********')
(14:14:54.97955900, '2-5948***********')
(14:14:58.15262800, '2-5976***********')
(14:15:2.82498500, '2-6022***********')
(14:15:2.82498500, '2-6023***********')
(14:15:3.30924900, '2-6027***********')
(14:15:3.57477400, '2-6031***********')
(14:15:3.57477400, '2-6032***********')
(14:15:4.84015600, '2-6046***********')
(14:15:6.59155100, '2-6068***********')
(14:15:7.31042400, '2-6077***********')
(14:15:7.37288300, '2-6079***********')
(14:15:9.65363700, '2-6098***********')
(14:15:11.34267000, '2-6109***********')
(14:15:11.43637400, '2-6111***********')
(14:15:11.43637400, '2-6112***********')
(14:15:13.01406400, '2-6122***********')
(14:15:13.01406400, '2-6123***********')
(14:15:14.29505600, '2-6133***********')
(14:15:14.81244200, '2-6144***********')
(14:15:15.57788700, '2-6152***********')
(14:15:15.93716600, '2-6156***********')
(14:15:17.38991800, '2-6167***********')
(14:15:18.04578000, '2-6174***********')
(14:15:19.23510800, '2-6184***********')
(14:15:27.72201900, '2-6239***********')
(14:15:27.72201900, '2-6240***********')
(14:15:30.14347700, '2-6258***********')
(14:15:30.14347700, '2-6259***********')
(14:15:31.64314500, '2-6265***********')
(14:15:32.08054300, '2-6268***********')
(14:15:33.40995000, '2-6283***********')
(14:15:33.40995000, '2-6282***********')
(14:15:37.45818400, '2-6316***********')
(14:15:37.45818400, '2-6317***********')
