('14:27:44.030757', b'>\r\n', 'sent:2-14:27:43.761104*')
('14:27:44.061904', b'>\r\n', 'sent:2-14:27:44.030757*')
('14:27:44.200043', b'>\r\n', 'sent:2-14:27:44.061904*')
('14:27:44.215738', b'>\r\n', 'sent:2-14:27:44.200043*')
('14:27:44.300350', b'>\r\n', 'sent:2-14:27:44.215738*')
('14:27:44.631692', b'>\r\n', 'sent:2-14:27:44.300350*')
('14:27:44.647339', b'>\r\n', 'sent:2-14:27:44.631692*')
('14:27:44.678582', b'>\r\n', 'sent:2-14:27:44.647339*')
('14:27:44.884806', b'>\r\n', 'sent:2-14:27:44.678582*')
('14:27:45.016361', b'>\r\n', 'sent:2-14:27:44.884806*')
('14:27:45.100841', b'>\r\n', 'sent:2-14:27:45.016361*')
('14:27:45.132082', b'>\r\n', 'sent:2-14:27:45.100841*')
('14:27:45.385015', b'>\r\n', 'sent:2-14:27:45.132082*')
('14:27:45.532147', b'>\r\n', 'sent:2-14:27:45.385015*')
('14:27:45.800899', b'>\r\n', 'sent:2-14:27:45.532147*')
('14:27:46.064133', b'>\r\n', 'sent:2-14:27:45.800899*')
('14:27:46.085996', b'>\r\n', 'sent:2-14:27:46.064133*')
('14:27:46.233430', b'>\r\n', 'sent:2-14:27:46.085996*')
('14:27:47.120027', b'>\r\n', 'sent:2-14:27:46.233430*')
('14:27:47.505445', b'>\r\n', 'sent:2-14:27:47.120027*')
('14:27:47.768409', b'>\r\n', 'sent:2-14:27:47.505445*')
('14:27:47.790676', b'>\r\n', 'sent:2-14:27:47.768409*')
('14:27:47.938006', b'>\r\n', 'sent:2-14:27:47.790676*')
('14:27:48.022323', b'>\r\n', 'sent:2-14:27:47.938006*')
('14:27:48.285524', b'>\r\n', 'sent:2-14:27:48.022323*')
('14:27:48.492050', b'>\r\n', 'sent:2-14:27:48.285524*')
('14:27:48.817051', b'>\r\n', 'sent:2-14:27:48.492050*')
('14:27:48.963230', b'>\r\n', 'sent:2-14:27:48.817051*')
('14:27:49.343844', b'>\r\n', 'sent:2-14:27:48.963230*')
('14:27:49.484349', b'>\r\n', 'sent:2-14:27:49.343844*')
('14:27:49.578171', b'>\r\n', 'sent:2-14:27:49.484349*')
('14:27:49.783195', b'>\r\n', 'sent:2-14:27:49.578171*')
('14:27:49.798826', b'>\r\n', 'sent:2-14:27:49.783195*')
('14:27:49.814460', b'>\r\n', 'sent:2-14:27:49.798826*')
('14:27:50.213994', b'>\r\n', 'sent:2-14:27:49.814460*')
('14:27:50.292119', b'>\r\n', 'sent:2-14:27:50.213994*')
('14:27:50.307735', b'>\r\n', 'sent:2-14:27:50.292119*')
('14:27:50.401411', b'>\r\n', 'sent:2-14:27:50.307735*')
('14:27:50.729528', b'>\r\n', 'sent:2-14:27:50.401411*')
('14:27:50.870108', b'>\r\n', 'sent:2-14:27:50.729528*')
('14:27:50.885702', b'>\r\n', 'sent:2-14:27:50.870108*')
('14:27:50.916693', b'>\r\n', 'sent:2-14:27:50.885702*')
('14:27:51.057578', b'>\r\n', 'sent:2-14:27:50.916693*')
('14:27:51.323130', b'>\r\n', 'sent:2-14:27:51.057578*')
('14:27:51.338749', b'>\r\n', 'sent:2-14:27:51.323130*')
('14:27:51.604305', b'>\r\n', 'sent:2-14:27:51.338749*')
('14:27:52.179282', b'>\r\n', 'sent:2-14:27:51.604305*')
('14:27:52.382389', b'>\r\n', 'sent:2-14:27:52.179282*')
('14:27:52.460494', b'>\r\n', 'sent:2-14:27:52.382389*')
('14:27:52.554208', b'>\r\n', 'sent:2-14:27:52.460494*')
('14:27:53.063135', b'>\r\n', 'sent:2-14:27:52.554208*')
('14:27:53.328731', b'>\r\n', 'sent:2-14:27:53.063135*')
('14:27:53.469272', b'>\r\n', 'sent:2-14:27:53.328731*')
('14:27:53.672399', b'>\r\n', 'sent:2-14:27:53.469272*')
