(11:27:33.23160900, '2-4410***********')
(11:27:33.70024900, '2-4413***********')
(11:27:34.15319700, '2-4419***********')
(11:27:36.34271600, '2-4447***********')
(11:27:37.54554500, '2-4457***********')
(11:27:41.28042600, '2-4493***********')
(11:27:43.03001200, '2-4513***********')
(11:27:46.57899800, '2-4541***********')
(11:27:50.49262500, '2-4577***********')
(11:27:52.39759700, '2-4589***********')
(11:27:52.54495200, '2-4591***********')
(11:27:52.61377100, '2-4592***********')
(11:27:52.72995600, '2-4595***********')
(11:27:52.72995600, '2-4596***********')
(11:27:52.82271600, '2-4598***********')
(11:27:52.82271600, '2-4599***********')
(11:27:53.14638500, '2-4605***********')
(11:27:53.66210500, '2-4614***********')
(11:27:55.98085500, '2-4634***********')
(11:27:57.32207200, '2-4653***********')
(11:27:58.54073600, '2-4666***********')
(11:27:59.18957800, '2-4674***********')
(11:28:0.32611100, '2-4691***********')
(11:28:0.38176000, '2-4693***********')
(11:28:2.89068200, '2-4717***********')
(11:28:3.78092400, '2-4728***********')
(11:28:4.79657200, '2-4735***********')
(11:28:4.79657200, '2-4736***********')
(11:28:5.17147500, '2-4744***********')
(11:28:6.61057300, '2-4764***********')
(11:28:7.14170500, '2-4774***********')
(11:28:7.95394000, '2-4782***********')
(11:28:9.40681800, '2-4790***********')
(11:28:12.14358100, '2-4811***********')
(11:28:12.20608000, '2-4812***********')
(11:28:13.36206400, '2-4819***********')
(11:28:13.36206400, '2-4820***********')
(11:28:13.42453200, '2-4821***********')
(11:28:14.17008300, '2-4828***********')
(11:28:14.49809500, '2-4831***********')
(11:28:15.24794200, '2-4835***********')
(11:28:16.42487900, '2-4852***********')
(11:28:16.48734000, '2-4854***********')
(11:28:19.12399700, '2-4877***********')
(11:28:24.37435800, '2-4916***********')
(11:28:26.17680200, '2-4926***********')
(11:28:26.62981600, '2-4928***********')
(11:28:28.18716500, '2-4943***********')
(11:28:36.70507400, '2-5002***********')
(11:28:36.70507400, '2-5003***********')
(11:28:36.79881500, '2-5006***********')
(11:28:36.86129900, '2-5007***********')
(11:28:37.28308100, '2-5010***********')
(11:28:38.50146400, '2-5016***********')
(11:28:40.28210100, '2-5032***********')
(11:28:40.89332000, '2-5041***********')
(11:28:40.90870800, '2-5042***********')
(11:28:41.06492200, '2-5047***********')
(11:28:42.53506900, '2-5060***********')
(11:28:42.59751600, '2-5062***********')
(11:28:45.37691200, '2-5089***********')
(11:28:45.87678400, '2-5093***********')
(11:28:45.97023600, '2-5095***********')
(11:28:47.70420900, '2-5115***********')
(11:28:50.31461600, '2-5138***********')
(11:28:51.23802800, '2-5147***********')
(11:28:56.03590500, '2-5193***********')
(11:28:57.09824700, '2-5204***********')
(11:28:57.97296500, '2-5209***********')
(11:28:57.97296500, '2-5210***********')
(11:28:58.03550900, '2-5211***********')
(11:28:59.52114100, '2-5230***********')
(11:29:1.31766900, '2-5241***********')
(11:29:1.36474400, '2-5242***********')
(11:29:4.56946100, '2-5273***********')
