('10:49:58.048684', '1-569')
('10:49:58.069671', '1-570')
('10:49:58.152707', '1-571')
('10:49:58.174678', '1-572')
('10:49:58.196713', '1-573')
('10:49:58.218824', '1-574')
('10:49:58.361743', '1-575')
('10:49:58.383706', '1-576')
('10:49:58.405673', '1-577')
('10:49:58.671774', '1-578')
('10:49:58.763664', '1-579')
('10:49:58.846691', '1-580')
('10:49:58.994755', '1-581')
('10:49:59.016829', '1-582')
('10:49:59.159934', '1-583')
('10:49:59.180689', '1-584')
('10:49:59.205701', '1-585')
('10:49:59.227707', '1-586')
('10:49:59.249658', '1-587')
('10:49:59.332712', '1-588')
('10:49:59.476715', '1-589')
('10:49:59.559652', '1-590')
('10:49:59.646723', '1-591')
('10:49:59.794753', '1-592')
('10:49:59.817663', '1-593')
('10:49:59.838766', '1-594')
('10:49:59.925788', '1-595')
('10:50:00.069725', '1-596')
('10:50:00.091661', '1-597')
('10:50:00.174705', '1-598')
('10:50:00.257693', '1-599')
('10:50:00.645668', '1-600')
('10:50:00.850776', '1-601')
('10:50:01.055757', '1-602')
('10:50:01.138657', '1-603')
('10:50:01.157638', '1-604')
('10:50:01.301749', '1-605')
('10:50:01.453605', '1-606')
('10:50:01.475645', '1-607')
('10:50:01.620650', '1-608')
('10:50:01.825808', '1-609')
('10:50:01.969635', '1-610')
('10:50:01.990626', '1-611')
('10:50:02.077685', '1-612')
('10:50:02.099699', '1-613')
('10:50:02.426711', '1-614')
('10:50:02.629685', '1-615')
('10:50:02.650815', '1-616')
('10:50:02.733677', '1-617')
('10:50:02.755674', '1-618')
('10:50:02.903737', '1-619')
('10:50:02.985693', '1-620')
('10:50:03.007767', '1-621')
('10:50:03.212694', '1-622')
('10:50:03.356687', '1-623')
('10:50:03.379631', '1-624')
('10:50:03.523687', '1-625')
('10:50:03.606682', '1-626')
('10:50:03.689674', '1-627')
('10:50:03.712628', '1-628')
('10:50:03.794678', '1-629')
('10:50:03.998690', '1-630')
('10:50:04.081679', '1-631')
('10:50:04.168746', '1-632')
('10:50:04.251669', '1-633')
('10:50:04.338713', '1-634')
('10:50:04.425836', '1-635')
('10:50:04.691669', '1-636')
('10:50:04.713669', '1-637')
('10:50:04.735667', '1-638')
('10:50:04.757753', '1-639')
('10:50:04.903630', '1-640')
('10:50:04.925627', '1-641')
('10:50:05.313666', '1-642')
('10:50:05.336619', '1-643')
('10:50:05.480633', '1-644')
('10:50:05.810676', '1-645')
('10:50:05.899857', '1-646')
('10:50:05.921625', '1-647')
('10:50:06.012618', '1-648')
('10:50:06.034642', '1-649')
('10:50:06.117620', '1-650')
('10:50:06.209743', '1-651')
