('10:23:09.385675', '5-587')
('10:23:09.510766', '5-588')
('10:23:09.557483', '5-589')
('10:23:09.682459', '5-590')
('10:23:09.731649', '5-591')
('10:23:09.965720', '5-592')
('10:23:10.075041', '5-593')
('10:23:10.121929', '5-594')
('10:23:10.309474', '5-595')
('10:23:10.356503', '5-596')
('10:23:10.418968', '5-597')
('10:23:10.528075', '5-598')
('10:23:10.653044', '5-599')
('10:23:10.762384', '5-600')
('10:23:10.871948', '5-601')
('10:23:10.996917', '5-602')
('10:23:11.043754', '5-603')
('10:23:11.168541', '5-604')
('10:23:11.403152', '5-605')
('10:23:11.449826', '5-606')
('10:23:11.574731', '5-607')
('10:23:11.621841', '5-608')
('10:23:11.668677', '5-609')
('10:23:11.715570', '5-610')
('10:23:11.902945', '5-611')
('10:23:11.965238', '5-612')
('10:23:12.309203', '5-613')
('10:23:12.371391', '5-614')
('10:23:12.418512', '5-615')
('10:23:12.465417', '5-616')
('10:23:12.512274', '5-617')
('10:23:12.575355', '5-618')
('10:23:12.746900', '5-619')
('10:23:12.918737', '5-620')
('10:23:13.090851', '5-621')
('10:23:13.153058', '5-622')
('10:23:13.199923', '5-623')
('10:23:13.496781', '5-624')
('10:23:13.606359', '5-625')
('10:23:13.840408', '5-626')
('10:23:13.887510', '5-627')
('10:23:14.012236', '5-628')
('10:23:14.184071', '5-629')
('10:23:14.246753', '5-630')
('10:23:14.293704', '5-631')
('10:23:14.340563', '5-632')
('10:23:14.387448', '5-633')
('10:23:14.637093', '5-634')
('10:23:14.684010', '5-635')
('10:23:14.746664', '5-636')
('10:23:14.793307', '5-637')
('10:23:14.840467', '5-638')
('10:23:14.965142', '5-639')
('10:23:15.074643', '5-640')
('10:23:15.137276', '5-641')
('10:23:15.246606', '5-642')
('10:23:15.293215', '5-643')
('10:23:15.418164', '5-644')
('10:23:15.652526', '5-645')
('10:23:15.701052', '5-646')
('10:23:15.748208', '5-647')
('10:23:15.794818', '5-648')
('10:23:15.919888', '5-649')
('10:23:15.982240', '5-650')
('10:23:16.029397', '5-651')
('10:23:16.076260', '5-652')
('10:23:16.378756', '5-653')
('10:23:16.488211', '5-654')
('10:23:16.612911', '5-655')
('10:23:16.738006', '5-656')
('10:23:16.862984', '5-657')
('10:23:16.909978', '5-658')
('10:23:17.269282', '5-659')
('10:23:17.331474', '5-660')
('10:23:17.440968', '5-661')
('10:23:17.565795', '5-662')
('10:23:17.612940', '5-663')
('10:23:17.659729', '5-664')
('10:23:17.722097', '5-665')
('10:23:17.769150', '5-666')
('10:23:18.065710', '5-667')
('10:23:18.253138', '5-668')
('10:23:18.300241', '5-669')
('10:23:18.362488', '5-670')
('10:23:18.409631', '5-671')
('10:23:18.456239', '5-672')
('10:23:18.628271', '5-673')
('10:23:18.935335', '5-674')
('10:23:18.981927', '5-675')
('10:23:19.169385', '5-676')
('10:23:19.341242', '5-677')
('10:23:19.388102', '5-678')
('10:23:19.638028', '5-679')
('10:23:19.685187', '5-680')
('10:23:19.794534', '5-681')
('10:23:19.856870', '5-682')
('10:23:20.153715', '5-683')
('10:23:20.200650', '5-684')
('10:23:20.247534', '5-685')
('10:23:20.294406', '5-686')
('10:23:20.419099', '5-687')
('10:23:20.466012', '5-688')
('10:23:20.653420', '5-689')
('10:23:20.762878', '5-690')
('10:23:20.825256', '5-691')
('10:23:20.872415', '5-692')
('10:23:20.997091', '5-693')
('10:23:21.044253', '5-694')
('10:23:21.090837', '5-695')
('10:23:21.215791', '5-696')
('10:23:21.325412', '5-697')
('10:23:21.372298', '5-698')
('10:23:21.434492', '5-699')
('10:23:21.481356', '5-700')
('10:23:21.528518', '5-701')
('10:23:21.645762', '5-702')
('10:23:21.692627', '5-703')
('10:23:21.927246', '5-704')
('10:23:21.989434', '5-705')
('10:23:22.036586', '5-706')
('10:23:22.083162', '5-707')
('10:23:22.145845', '5-708')
('10:23:22.192793', '5-709')
('10:23:22.302136', '5-710')
('10:23:22.473891', '5-711')
('10:23:22.536323', '5-712')
('10:23:22.645723', '5-713')
('10:23:22.832990', '5-714')
('10:23:23.083013', '5-715')
('10:23:23.317545', '5-716')
('10:23:23.364409', '5-717')
('10:23:23.426875', '5-718')
('10:23:23.478334', '5-719')
('10:23:23.587960', '5-720')
('10:23:23.650357', '5-721')
('10:23:23.697307', '5-722')
('10:23:23.744188', '5-723')
('10:23:23.806382', '5-724')
('10:23:23.978512', '5-725')
('10:23:24.040949', '5-726')
('10:23:24.087696', '5-727')
('10:23:24.259688', '5-728')
('10:23:24.431240', '5-729')
('10:23:24.681182', '5-730')
('10:23:24.853019', '5-731')
('10:23:25.212587', '5-732')
('10:23:25.321682', '5-733')
('10:23:25.384146', '5-734')
('10:23:25.431031', '5-735')
('10:23:25.555981', '5-736')
('10:23:25.603143', '5-737')
('10:23:25.774877', '5-738')
('10:23:25.821827', '5-739')
('10:23:25.868689', '5-740')
('10:23:25.930896', '5-741')
('10:23:25.977990', '5-742')
('10:23:26.024902', '5-743')
('10:23:26.133974', '5-744')
('10:23:26.321579', '5-745')
('10:23:26.633946', '5-746')
('10:23:26.868181', '5-747')
('10:23:27.040314', '5-748')
('10:23:27.102502', '5-749')
('10:23:27.274622', '5-750')
('10:23:27.446454', '5-751')
('10:23:27.745676', '5-752')
('10:23:27.855032', '5-753')
('10:23:28.042496', '5-754')
('10:23:28.214067', '5-755')
('10:23:28.276525', '5-756')
('10:23:28.573372', '5-757')
('10:23:28.635868', '5-758')
('10:23:28.807840', '5-759')
('10:23:28.854792', '5-760')
