(10:46:43.40823400, '2-4346***********')
(10:46:43.57103100, '2-4348***********')
(10:46:46.11779500, '2-4369***********')
(10:46:46.11982200, '2-4370***********')
(10:46:46.17902500, '2-4371***********')
(10:46:46.66079200, '2-4373***********')
(10:46:46.66387600, '2-4374***********')
(10:46:54.09344100, '2-4429***********')
(10:46:54.09644600, '2-4430***********')
(10:46:54.48238300, '2-4433***********')
(10:46:54.48537600, '2-4434***********')
(10:46:56.83530100, '2-4456***********')
(10:47:1.85666200, '2-4489***********')
(10:47:2.86512800, '2-4499***********')
(10:47:2.86812000, '2-4500***********')
(10:47:4.24775500, '2-4513***********')
(10:47:4.25071700, '2-4514***********')
(10:47:5.21757400, '2-4528***********')
(10:47:7.86908100, '2-4551***********')
(10:47:7.87207400, '2-4552***********')
(10:47:8.30033100, '2-4556***********')
(10:47:8.30334700, '2-4557***********')
(10:47:8.36427000, '2-4558***********')
(10:47:8.36627000, '2-4559***********')
(10:47:9.57226500, '2-4571***********')
(10:47:13.54073300, '2-4611***********')
(10:47:13.88920200, '2-4613***********')
(10:47:13.95028900, '2-4614***********')
(10:47:13.95328100, '2-4615***********')
(10:47:14.42404000, '2-4622***********')
(10:47:16.19468200, '2-4638***********')
(10:47:17.81909500, '2-4647***********')
(10:47:19.32473300, '2-4658***********')
(10:47:25.97688400, '2-4706***********')
(10:47:26.09861500, '2-4708***********')
(10:47:27.69247600, '2-4720***********')
(10:47:30.21048200, '2-4744***********')
(10:47:30.21647700, '2-4745***********')
(10:47:34.07867200, '2-4770***********')
(10:47:36.67568800, '2-4782***********')
(10:47:38.09787800, '2-4791***********')
(10:47:41.80923400, '2-4821***********')
(10:47:41.93220500, '2-4823***********')
(10:47:43.63132800, '2-4842***********')
(10:47:43.63432100, '2-4843***********')
(10:47:43.91975200, '2-4849***********')
(10:47:45.35650000, '2-4863***********')
(10:47:46.39667600, '2-4870***********')
(10:47:48.13710000, '2-4889***********')
(10:47:49.82279300, '2-4903***********')
(10:47:51.07676600, '2-4915***********')
(10:47:51.65992700, '2-4921***********')
(10:47:54.09251100, '2-4936***********')
(10:47:54.98549200, '2-4944***********')
(10:47:55.55199100, '2-4948***********')
(10:47:56.15816800, '2-4954***********')
(10:47:56.70233800, '2-4955***********')
(10:47:58.06580300, '2-4962***********')
(10:47:58.06880100, '2-4963***********')
(10:47:58.56825500, '2-4968***********')
(10:47:58.57124700, '2-4969***********')
(10:47:58.62968400, '2-4970***********')
(10:47:59.96438400, '2-4979***********')
(10:48:0.91183200, '2-4987***********')
(10:48:0.91482300, '2-4988***********')
