(14:59:1.72296300, '2-1526***********')
(14:59:1.90544900, '2-1530***********')
(14:59:2.18472300, '2-1536***********')
(14:59:2.18771500, '2-1537***********')
(14:59:2.33931000, '2-1538***********')
(14:59:2.50164900, '2-1542***********')
(14:59:2.50467500, '2-1543***********')
(14:59:2.59501400, '2-1545***********')
(14:59:3.06116100, '2-1548***********')
(14:59:3.06315500, '2-1549***********')
(14:59:3.37689500, '2-1555***********')
(14:59:3.53290400, '2-1557***********')
(14:59:4.34625100, '2-1567***********')
(14:59:4.34921000, '2-1568***********')
(14:59:4.74748700, '2-1574***********')
(14:59:4.75050500, '2-1575***********')
(14:59:4.80983600, '2-1576***********')
(14:59:5.15118000, '2-1579***********')
(14:59:5.15519200, '2-1580***********')
(14:59:5.77594600, '2-1587***********')
(14:59:5.77899700, '2-1588***********')
(14:59:5.83738800, '2-1589***********')
(14:59:5.84038000, '2-1590***********')
(14:59:6.30172900, '2-1594***********')
(14:59:6.30472200, '2-1595***********')
(14:59:6.46023400, '2-1597***********')
(14:59:6.58319200, '2-1601***********')
(14:59:6.58419000, '2-1600***********')
(14:59:6.82933600, '2-1603***********')
(14:59:7.10758000, '2-1606***********')
(14:59:7.32492600, '2-1611***********')
(14:59:7.44843900, '2-1612***********')
(14:59:7.45246100, '2-1613***********')
(14:59:7.50927600, '2-1614***********')
(14:59:7.51429200, '2-1615***********')
(14:59:7.63194900, '2-1616***********')
(14:59:7.69281400, '2-1619***********')
(14:59:7.84883400, '2-1623***********')
(14:59:7.85381500, '2-1624***********')
(14:59:7.90969500, '2-1625***********')
(14:59:8.10485700, '2-1629***********')
(14:59:9.47327200, '2-1645***********')
(14:59:9.69138500, '2-1647***********')
(14:59:9.69437700, '2-1648***********')
(14:59:10.28777000, '2-1654***********')
(14:59:10.34857500, '2-1655***********')
(14:59:10.53366400, '2-1658***********')
(14:59:10.53862100, '2-1659***********')
(14:59:11.16271000, '2-1672***********')
(14:59:11.22325100, '2-1673***********')
(14:59:11.68538900, '2-1677***********')
(14:59:12.65847400, '2-1688***********')
(14:59:12.66146300, '2-1689***********')
(14:59:13.15311100, '2-1696***********')
(14:59:13.71051400, '2-1701***********')
(14:59:13.98852200, '2-1707***********')
(14:59:14.04935400, '2-1708***********')
(14:59:14.76958100, '2-1715***********')
(14:59:14.89225000, '2-1716***********')
(14:59:14.89424400, '2-1717***********')
(14:59:15.28902900, '2-1721***********')
(14:59:15.29202100, '2-1722***********')
(14:59:15.41369600, '2-1725***********')
(14:59:15.88532500, '2-1732***********')
(14:59:15.89127700, '2-1733***********')
(14:59:16.26551300, '2-1739***********')
(14:59:16.26850700, '2-1740***********')
(14:59:16.48142200, '2-1743***********')
(14:59:17.06928900, '2-1749***********')
(14:59:17.47023800, '2-1756***********')
(14:59:17.56356300, '2-1757***********')
(14:59:17.56851500, '2-1758***********')
(14:59:17.68523600, '2-1759***********')
(14:59:18.11721600, '2-1761***********')
(14:59:18.23901800, '2-1763***********')
(14:59:19.08436900, '2-1771***********')
(14:59:19.17525800, '2-1773***********')
(14:59:20.08215000, '2-1783***********')
(14:59:20.08516600, '2-1784***********')
(14:59:20.14401200, '2-1785***********')
(14:59:20.86464900, '2-1796***********')
(14:59:20.86764100, '2-1797***********')
(14:59:21.12016700, '2-1801***********')
(14:59:21.46886200, '2-1807***********')
(14:59:21.80908100, '2-1815***********')
(14:59:22.73818700, '2-1822***********')
(14:59:22.74018200, '2-1823***********')
(14:59:22.89202800, '2-1826***********')
(14:59:22.95391600, '2-1827***********')
(14:59:22.95690700, '2-1828***********')
(14:59:23.79616600, '2-1839***********')
(14:59:23.79916600, '2-1840***********')
(14:59:24.10628300, '2-1848***********')
(14:59:24.26125900, '2-1851***********')
(14:59:24.38604300, '2-1853***********')
(14:59:25.16764800, '2-1859***********')
(14:59:25.70395500, '2-1869***********')
(14:59:26.32259200, '2-1877***********')
(14:59:26.41531000, '2-1879***********')
(14:59:26.82477000, '2-1888***********')
(14:59:26.82776200, '2-1889***********')
(14:59:26.88617500, '2-1890***********')
(14:59:26.88816800, '2-1891***********')
(14:59:27.25811200, '2-1898***********')
(14:59:27.26010600, '2-1899***********')
(14:59:27.31914400, '2-1901***********')
(14:59:27.50496300, '2-1904***********')
(14:59:27.75205500, '2-1908***********')
(14:59:28.15301300, '2-1914***********')
(14:59:28.40026500, '2-1918***********')
(14:59:28.46213200, '2-1919***********')
(14:59:28.46412700, '2-1920***********')
(14:59:29.31589100, '2-1935***********')
(14:59:29.31888200, '2-1936***********')
(14:59:29.37772600, '2-1937***********')
(14:59:29.37972100, '2-1938***********')
(14:59:29.43856300, '2-1939***********')
(14:59:29.44155500, '2-1940***********')
(14:59:29.84064200, '2-1943***********')
(14:59:30.05652000, '2-1948***********')
(14:59:30.56123800, '2-1951***********')
(14:59:31.16770300, '2-1958***********')
(14:59:31.92611500, '2-1967***********')
(14:59:31.92807500, '2-1968***********')
(14:59:32.29658100, '2-1975***********')
(14:59:32.63816500, '2-1981***********')
(14:59:32.64312200, '2-1982***********')
(14:59:32.82380700, '2-1987***********')
(14:59:33.04022700, '2-1990***********')
(14:59:34.66425900, '2-2006***********')
(14:59:34.72612600, '2-2007***********')
(14:59:34.72812000, '2-2008***********')
(14:59:34.85079200, '2-2011***********')
(14:59:34.85278700, '2-2012***********')
(14:59:34.91063300, '2-2013***********')
(14:59:35.21980100, '2-2018***********')
(14:59:35.86716200, '2-2024***********')
(14:59:36.08382000, '2-2029***********')
(14:59:36.99015000, '2-2040***********')
(14:59:36.99317000, '2-2041***********')
(14:59:37.08284100, '2-2043***********')
(14:59:37.08583300, '2-2044***********')
(14:59:37.30014200, '2-2048***********')
(14:59:38.22918600, '2-2058***********')
(14:59:38.23217800, '2-2059***********')
(14:59:38.38362400, '2-2061***********')
(14:59:38.38668600, '2-2062***********')
(14:59:38.44519200, '2-2063***********')
(14:59:38.44816300, '2-2064***********')
(14:59:39.20488300, '2-2075***********')
(14:59:39.20787600, '2-2076***********')
(14:59:39.26607000, '2-2077***********')
(14:59:39.39021100, '2-2079***********')
(14:59:39.39324000, '2-2080***********')
(14:59:39.57783200, '2-2084***********')
(14:59:39.57982400, '2-2083***********')
(14:59:39.91789100, '2-2088***********')
(14:59:39.91991500, '2-2089***********')
(14:59:40.13051200, '2-2092***********')
(14:59:40.37678700, '2-2096***********')
(14:59:40.68498800, '2-2103***********')
(14:59:40.80865800, '2-2105***********')
(14:59:41.17997300, '2-2109***********')
(14:59:41.46593900, '2-2114***********')
(14:59:41.46893100, '2-2115***********')
(14:59:41.69255200, '2-2117***********')
(14:59:41.69751900, '2-2118***********')
(14:59:41.81622100, '2-2121***********')
(14:59:41.82117500, '2-2122***********')
(14:59:42.06173000, '2-2125***********')
(14:59:42.42053500, '2-2129***********')
(14:59:42.42355800, '2-2130***********')
(14:59:42.72905700, '2-2135***********')
(14:59:42.73105100, '2-2136***********')
(14:59:43.08552000, '2-2141***********')
(14:59:43.08851300, '2-2142***********')
(14:59:44.11685400, '2-2157***********')
(14:59:44.11984600, '2-2158***********')
(14:59:44.30201500, '2-2161***********')
(14:59:44.30500700, '2-2162***********')
(14:59:44.64107600, '2-2164***********')
(14:59:44.79557900, '2-2165***********')
(14:59:44.79757400, '2-2166***********')
(14:59:45.77249600, '2-2181***********')
(14:59:45.95304300, '2-2183***********')
(14:59:46.01387900, '2-2185***********')
(14:59:46.02086100, '2-2184***********')
(14:59:46.13672000, '2-2187***********')
(14:59:46.56906700, '2-2192***********')
(14:59:46.57207400, '2-2191***********')
(14:59:47.07204600, '2-2197***********')
(14:59:47.07500500, '2-2198***********')
(14:59:47.41103400, '2-2201***********')
(14:59:48.29621000, '2-2211***********')
(14:59:49.13943200, '2-2219***********')
(14:59:49.14242400, '2-2220***********')
(14:59:49.35621300, '2-2223***********')
(14:59:49.60290500, '2-2226***********')
(14:59:49.60589800, '2-2227***********')
(14:59:50.32045200, '2-2235***********')
(14:59:50.47522600, '2-2240***********')
(14:59:50.59890600, '2-2243***********')
(14:59:50.60189800, '2-2244***********')
(14:59:50.72256200, '2-2247***********')
(14:59:50.72552900, '2-2248***********')
(14:59:51.21580100, '2-2256***********')
(14:59:51.27724900, '2-2257***********')
(14:59:51.28024100, '2-2258***********')
(14:59:51.40241000, '2-2260***********')
(14:59:51.68030100, '2-2264***********')
(14:59:51.74189300, '2-2265***********')
(14:59:51.74388800, '2-2266***********')
(14:59:52.50123300, '2-2274***********')
(14:59:52.50822300, '2-2275***********')
(14:59:52.56323700, '2-2277***********')
(14:59:53.30637800, '2-2284***********')
(14:59:53.31037100, '2-2285***********')
(14:59:53.46028300, '2-2287***********')
(14:59:53.83054900, '2-2293***********')
(14:59:54.29779100, '2-2298***********')
(14:59:54.39065900, '2-2300***********')
(14:59:54.48287300, '2-2302***********')
(14:59:54.92485500, '2-2309***********')
(14:59:55.11056900, '2-2311***********')
(14:59:55.11352900, '2-2312***********')
(14:59:55.39768500, '2-2318***********')
(14:59:55.40068200, '2-2319***********')
(14:59:55.55206400, '2-2320***********')
(14:59:55.80851400, '2-2326***********')
(14:59:56.11868400, '2-2329***********')
(14:59:56.33460100, '2-2333***********')
(14:59:56.70716100, '2-2338***********')
(14:59:56.77008700, '2-2339***********')
(14:59:56.77311200, '2-2340***********')
(14:59:58.17881500, '2-2355***********')
(14:59:58.18483200, '2-2354***********')
(14:59:58.23868700, '2-2356***********')
(14:59:58.24464200, '2-2357***********')
(14:59:58.42442300, '2-2363***********')
(14:59:58.43040700, '2-2362***********')
(14:59:59.04353500, '2-2375***********')
(14:59:59.13625400, '2-2377***********')
(14:59:59.26012000, '2-2380***********')
(14:59:59.26315300, '2-2381***********')
(14:59:59.75569500, '2-2388***********')
(14:59:59.75964800, '2-2387***********')
(14:59:59.90867700, '2-2391***********')
(15:0:0.30932800, '2-2395***********')
(15:0:0.99868900, '2-2403***********')
(15:0:1.28438700, '2-2407***********')
(15:0:1.44005800, '2-2410***********')
(15:0:1.56375800, '2-2412***********')
(15:0:1.78014400, '2-2416***********')
(15:0:1.78513500, '2-2417***********')
(15:0:1.84214700, '2-2418***********')
