('14:57:29.423861', b'B-dur: 30956; ssid: 2-195\r\n', '')
('14:57:29.454778', b'B-dur: 30958; ssid: 2-196\r\n', '')
('14:57:29.485860', b'B-dur: 30958; ssid: 2-197\r\n', '')
('14:57:29.516779', b'B-dur: 30958; ssid: 2-198\r\n', '')
('14:57:29.547693', b'B-dur: 30958; ssid: 2-199\r\n', '')
('14:57:29.578185', b'B-dur: 30958; ssid: 2-200\r\n', '')
('14:57:29.609302', b'B-dur: 30958; ssid: 2-201\r\n', '')
('14:57:29.641372', b'B-dur: 30958; ssid: 2-202\r\n', '')
('14:57:29.672289', b'B-dur: 30958; ssid: 2-203\r\n', '')
('14:57:29.703207', b'B-dur: 30958; ssid: 2-204\r\n', '')
('14:57:29.734123', b'B-dur: 30958; ssid: 2-205\r\n', '')
('14:57:29.765041', b'B-dur: 30958; ssid: 2-206\r\n', '')
('14:57:29.795958', b'B-dur: 30958; ssid: 2-207\r\n', '')
('14:57:29.854967', b'S-dur: 61479\r\n', '')
('14:57:29.889254', b'B-dur: 31452; ssid: 2-208\r\n', '')
('14:57:29.920279', b'B-dur: 30956; ssid: 2-209\r\n', '')
('14:57:29.951197', b'B-dur: 30958; ssid: 2-210\r\n', '')
('14:57:29.982114', b'B-dur: 30958; ssid: 2-211\r\n', '')
('14:57:30.041985', b'S-dur: 61448\r\n', '')
('14:57:30.102991', b'S-dur: 61418\r\n', '')
('14:57:30.135186', b'B-dur: 31040; ssid: 2-212\r\n', '')
('14:57:30.167101', b'B-dur: 30956; ssid: 2-213\r\n', '')
('14:57:30.266499', b'N-dur: 100964\r\n', '')
('14:57:30.367229', b'N-dur: 100953\r\n', '')
('14:57:30.401136', b'B-dur: 31967; ssid: 2-214\r\n', '')
('14:57:30.432054', b'B-dur: 30929; ssid: 2-215\r\n', '')
('14:57:30.462972', b'B-dur: 30958; ssid: 2-216\r\n', '')
('14:57:30.526953', b'D1-227************************\r\n', '')
('14:57:30.527951', b'S-dur: 61944\r\n', '')
('14:57:30.588788', b'D1-229************************\r\n', '')
('14:57:30.589785', b'S-dur: 61761\r\n', '')
('14:57:30.617711', b'B-dur: 31196; ssid: 2-217\r\n', '')
('14:57:30.648659', b'B-dur: 30947; ssid: 2-218\r\n', '')
('14:57:30.679547', b'B-dur: 30958; ssid: 2-219\r\n', '')
('14:57:30.742765', b'D1-231************************\r\n', '')
('14:57:30.743763', b'S-dur: 61697\r\n', '')
('14:57:30.772018', b'B-dur: 31235; ssid: 2-220\r\n', '')
('14:57:30.832487', b'S-dur: 61559\r\n', '')
('14:57:30.866395', b'B-dur: 31368; ssid: 2-221\r\n', '')
('14:57:30.897311', b'B-dur: 30956; ssid: 2-222\r\n', '')
('14:57:30.928229', b'B-dur: 30958; ssid: 2-223\r\n', '')
('14:57:30.959146', b'B-dur: 30958; ssid: 2-224\r\n', '')
('14:57:30.990222', b'B-dur: 30958; ssid: 2-225\r\n', '')
('14:57:31.021140', b'B-dur: 30958; ssid: 2-226\r\n', '')
('14:57:31.080147', b'S-dur: 61431\r\n', '')
('14:57:31.114222', b'B-dur: 31500; ssid: 2-227\r\n', '')
('14:57:31.144357', b'B-dur: 30956; ssid: 2-228\r\n', '')
('14:57:31.175300', b'B-dur: 30958; ssid: 2-229\r\n', '')
('14:57:31.235177', b'S-dur: 61254\r\n', '')
('14:57:31.296415', b'S-dur: 61455\r\n', '')
('14:57:31.362215', b'D1-237************************\r\n', '')
('14:57:31.363213', b'S-dur: 61590\r\n', '')
('14:57:31.392134', b'B-dur: 31583; ssid: 2-230\r\n', '')
('14:57:31.423241', b'B-dur: 30954; ssid: 2-231\r\n', '')
('14:57:31.482226', b'S-dur: 61340\r\n', '')
('14:57:31.516135', b'B-dur: 31591; ssid: 2-232\r\n', '')
('14:57:31.547051', b'B-dur: 30956; ssid: 2-233\r\n', '')
('14:57:31.610880', b'D1-239************************\r\n', '')
('14:57:31.611878', b'S-dur: 61558\r\n', '')
('14:57:31.639804', b'B-dur: 31373; ssid: 2-234\r\n', '')
('14:57:31.699644', b'S-dur: 61786\r\n', '')
('14:57:31.733554', b'B-dur: 31141; ssid: 2-235\r\n', '')
('14:57:31.792396', b'S-dur: 61286\r\n', '')
('14:57:31.826304', b'B-dur: 31643; ssid: 2-236\r\n', '')
('14:57:31.889305', b'D1-245************************\r\n', '')
('14:57:31.890301', b'S-dur: 61737\r\n', '')
('14:57:31.919224', b'B-dur: 31191; ssid: 2-237\r\n', '')
('14:57:31.950143', b'B-dur: 30954; ssid: 2-238\r\n', '')
('14:57:31.981122', b'B-dur: 30958; ssid: 2-239\r\n', '')
('14:57:32.012134', b'B-dur: 30958; ssid: 2-240\r\n', '')
('14:57:32.043052', b'B-dur: 30958; ssid: 2-241\r\n', '')
('14:57:32.102894', b'S-dur: 61378\r\n', '')
('14:57:32.166837', b'D1-250************************\r\n', '')
('14:57:32.166837', b'S-dur: 61628\r\n', '')
('14:57:32.195922', b'B-dur: 30895; ssid: 2-242\r\n', '')
('14:57:32.256753', b'S-dur: 61290\r\n', '')
('14:57:32.289665', b'B-dur: 31637; ssid: 2-243\r\n', '')
('14:57:32.320582', b'B-dur: 30956; ssid: 2-244\r\n', '')
('14:57:32.352496', b'B-dur: 30958; ssid: 2-245\r\n', '')
('14:57:32.383443', b'B-dur: 30958; ssid: 2-246\r\n', '')
('14:57:32.414331', b'B-dur: 30958; ssid: 2-247\r\n', '')
('14:57:32.445247', b'B-dur: 30958; ssid: 2-248\r\n', '')
('14:57:32.476165', b'B-dur: 30958; ssid: 2-249\r\n', '')
('14:57:32.507081', b'B-dur: 30958; ssid: 2-250\r\n', '')
('14:57:32.537999', b'B-dur: 30958; ssid: 2-251\r\n', '')
('14:57:32.597840', b'S-dur: 61355\r\n', '')
('14:57:32.630752', b'B-dur: 31577; ssid: 2-252\r\n', '')
('14:57:32.661669', b'B-dur: 30956; ssid: 2-253\r\n', '')
('14:57:32.721510', b'S-dur: 61557\r\n', '')
('14:57:32.755418', b'B-dur: 31375; ssid: 2-254\r\n', '')
('14:57:32.854499', b'N-dur: 100957\r\n', '')
('14:57:32.922612', b'D1-259************************\r\n', '')
('14:57:32.923608', b'S-dur: 62092\r\n', '')
('14:57:32.950536', b'B-dur: 31823; ssid: 2-255\r\n', '')
('14:57:33.009380', b'S-dur: 61360\r\n', '')
('14:57:33.069970', b'S-dur: 61205\r\n', '')
('14:57:33.104023', b'B-dur: 31318; ssid: 2-256\r\n', '')
('14:57:33.166857', b'D1-260************************\r\n', '')
('14:57:33.167848', b'S-dur: 61969\r\n', '')
('14:57:33.196467', b'B-dur: 30960; ssid: 2-257\r\n', '')
('14:57:33.228637', b'B-dur: 30954; ssid: 2-258\r\n', '')
('14:57:33.258789', b'B-dur: 30958; ssid: 2-259\r\n', '')
('14:57:33.289708', b'B-dur: 30964; ssid: 2-260\r\n', '')
('14:57:33.320625', b'B-dur: 30951; ssid: 2-261\r\n', '')
('14:57:33.351636', b'B-dur: 30958; ssid: 2-262\r\n', '')
('14:57:33.383563', b'B-dur: 30958; ssid: 2-263\r\n', '')
('14:57:33.449715', b'D1-264************************\r\n', '')
('14:57:33.451711', b'D1-265************************\r\n', '')
('14:57:33.454705', b'S-dur: 61792\r\n', '')
('14:57:33.475646', b'B-dur: 31135; ssid: 2-264\r\n', '')
('14:57:33.535721', b'S-dur: 61467\r\n', '')
('14:57:33.601736', b'D1-267************************\r\n', '')
('14:57:33.601736', b'S-dur: 61697\r\n', '')
('14:57:33.629692', b'B-dur: 30738; ssid: 2-265\r\n', '')
('14:57:33.689672', b'S-dur: 61276\r\n', '')
('14:57:33.789210', b'N-dur: 100652\r\n', '')
('14:57:33.822415', b'B-dur: 31963; ssid: 2-266\r\n', '')
('14:57:33.887814', b'D1-271************************\r\n', '')
('14:57:33.888811', b'S-dur: 61730\r\n', '')
('14:57:33.985554', b'N-dur: 101166\r\n', '')
('14:57:34.019463', b'B-dur: 31963; ssid: 2-267\r\n', '')
('14:57:34.078306', b'S-dur: 61344\r\n', '')
('14:57:34.140142', b'S-dur: 61136\r\n', '')
('14:57:34.173050', b'B-dur: 31389; ssid: 2-268\r\n', '')
('14:57:34.203412', b'B-dur: 30956; ssid: 2-269\r\n', '')
('14:57:34.238555', b'B-dur: 30958; ssid: 2-270\r\n', '')
('14:57:34.266475', b'B-dur: 30958; ssid: 2-271\r\n', '')
('14:57:34.298392', b'B-dur: 30958; ssid: 2-272\r\n', '')
('14:57:34.358230', b'S-dur: 61328\r\n', '')
('14:57:34.393138', b'B-dur: 31603; ssid: 2-273\r\n', '')
('14:57:34.456964', b'D1-277************************\r\n', '')
('14:57:34.458960', b'D1-278************************\r\n', '')
('14:57:34.459957', b'S-dur: 61832\r\n', '')
('14:57:34.515807', b'D1-279************************\r\n', '')
('14:57:34.516805', b'S-dur: 61600\r\n', '')
('14:57:34.544909', b'B-dur: 31472; ssid: 2-274\r\n', '')
('14:57:34.578820', b'B-dur: 30954; ssid: 2-275\r\n', '')
('14:57:34.636826', b'S-dur: 61302\r\n', '')
('14:57:34.671934', b'B-dur: 31630; ssid: 2-276\r\n', '')
('14:57:34.699848', b'B-dur: 30956; ssid: 2-277\r\n', '')
('14:57:34.730935', b'B-dur: 30958; ssid: 2-278\r\n', '')
('14:57:34.794918', b'D1-282************************\r\n', '')
('14:57:34.795916', b'S-dur: 61916\r\n', '')
('14:57:34.823896', b'B-dur: 31015; ssid: 2-279\r\n', '')
('14:57:34.883086', b'S-dur: 61309\r\n', '')
('14:57:34.948893', b'D1-284************************\r\n', '')
('14:57:34.949890', b'S-dur: 61681\r\n', '')
('14:57:35.006302', b'S-dur: 61430\r\n', '')
('14:57:35.108169', b'N-dur: 101455\r\n', '')
('14:57:35.176984', b'D1-287************************\r\n', '')
('14:57:35.177976', b'D1-288************************\r\n', '')
('14:57:35.177976', b'S-dur: 62368\r\n', '')
('14:57:35.231576', b'S-dur: 61378\r\n', '')
('14:57:35.266732', b'B-dur: 31147; ssid: 2-280\r\n', '')
('14:57:35.295654', b'B-dur: 30936; ssid: 2-281\r\n', '')
('14:57:35.330565', b'B-dur: 30958; ssid: 2-282\r\n', '')
('14:57:35.359487', b'B-dur: 30958; ssid: 2-283\r\n', '')
('14:57:35.391398', b'B-dur: 30958; ssid: 2-284\r\n', '')
('14:57:35.421316', b'B-dur: 30958; ssid: 2-285\r\n', '')
('14:57:35.451269', b'B-dur: 30958; ssid: 2-286\r\n', '')
('14:57:35.549973', b'N-dur: 100959\r\n', '')
('14:57:35.583883', b'B-dur: 31963; ssid: 2-287\r\n', '')
('14:57:35.642804', b'S-dur: 61389\r\n', '')
